StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,xA1,xB1,xAB1,xA2,xB2,xAB2,xA3,xB3,xAB3,xA4,xB4,xAB4,free_response
2017-09-28 21:37:20,2017-09-28 21:40:56,0,100,216,1,2017-09-28 21:40:57,R_3qKy7P2W6yV09Ki,anonymous,EN,4,,,,,,,,,,,,the ceo is promising to match people based on questions answered. what he would be doing is cheating people of real matches and although they will be similar matches they are not true matches
2017-09-28 21:40:43,2017-09-28 21:44:20,0,100,216,1,2017-09-28 21:44:21,R_24k3hhlcYu10ecl,anonymous,EN,,,,,,2,,,,,,,"Cancer is much more deadly. Since cancer is treatable to a certain extend if caught early enough, and as far as I know dementia is not. It's unethical for the company to decide who gets checked for what"
2017-09-28 21:49:30,2017-09-28 21:54:54,0,100,323,1,2017-09-28 21:54:55,R_1OYPI9XXnESMkMq,anonymous,EN,,,5,,,,,,,,,,I think it is a good idea to try both ways. Being too alike isn't always the best for a relationship.
2017-09-28 21:53:23,2017-09-28 21:55:39,0,100,135,1,2017-09-28 21:55:39,R_3FXrzK1VIj48J5w,anonymous,EN,,,,,1,,,,,,,,"The customers signed on for genetic testing to learn about ancestry.  If there were an option of having another test done, they should be told up front, not after the fact . That is very unethical and I would hope that is against the law.  I would be furious!"
2017-09-28 22:22:07,2017-09-28 22:24:24,0,100,136,1,2017-09-28 22:24:25,R_2czLKDHqDU9cCGA,anonymous,EN,,,,,,,,,,,,2,"It makes the cars overridable from even the slightest touch of controls that are, for all purpose, ergonomically designed to be held or pressed. It's just asking for mistakes without being realized."
2017-09-28 22:24:44,2017-09-28 22:26:16,0,100,91,1,2017-09-28 22:26:16,R_R97c31ZERyWxc2d,anonymous,EN,,5,,,,,,,,,,,"Because being with someone who is exactly like you or similar to you often doesnt work for everyone. Sometimes its good to be a little different from your spouse or partner. "
2017-09-28 22:25:46,2017-09-28 22:27:07,0,100,80,1,2017-09-28 22:27:07,R_2WSfV5d3Svh3GoT,anonymous,EN,,,,,,,5,,,,,,"It will benefit families in the long run. Families will be able to take steps to make sure that they don't experience stress based on their children's potential condition. "
2017-09-28 22:25:34,2017-09-28 22:30:48,0,100,313,1,2017-09-28 22:30:49,R_bgvRHhO9Fl8VetX,anonymous,EN,,,,,,,,,5,,,,"I felt the CEO's decision is very appropriate because as someone in a position of power, he should help people as much as he can, which is exactly what he wants to do. Thus I really appreciate that he would go out of his way to help people treat their health risks or see if they are vulnerable to any. Sure there might be worries that the CEO may be gathering all these sensitive information for their own gain, but I feel that is not what he wants to achieve."
2017-09-28 22:38:09,2017-09-28 22:40:20,0,100,130,1,2017-09-28 22:40:21,R_1LCoacrNDkbfp2o,anonymous,EN,2,,,,,,,,,,,,"because people believe they are contacting people who are a match for them and not someone that is just similar "
2017-09-28 22:47:28,2017-09-28 22:49:07,0,100,99,1,2017-09-28 22:49:08,R_72tQ6Lc3BmjOtGh,anonymous,EN,,,,,,,,,,,5,,"I think this is wise, in case people in the car are uncomfortable with the driverless mechanism. At least you have an out if you don't like the driverless car."
2017-09-28 22:53:27,2017-09-28 22:55:22,0,100,114,1,2017-09-28 22:57:02,R_9H8296rz1oHyz9T,anonymous,EN,,,,,,,,2,,,,,"I think that this can induce panic if some people, but it can also help people prepare for a genetic mutation and take the necessary steps for possible prevention."
2017-09-28 23:05:14,2017-09-28 23:06:09,0,100,55,1,2017-09-28 23:06:10,R_1QL3mPzxbXXcDFS,anonymous,EN,,,,3,,,,,,,,,"This would be inappropriate if consumers didn't know but that information is not available in this prompt. It could be appropriate if agreed to. "
2017-09-28 23:08:01,2017-09-28 23:09:16,0,100,74,1,2017-09-28 23:09:17,R_2Cr0odW3undMora,anonymous,EN,5,,,,,,,,,,,,"Not everyone who is identical to you in terms of tastes will be a match, because there will be other areas of their life where there are stark discrepancies or differences (e.g., politics, religion, etc.)."
2017-09-28 23:08:30,2017-09-28 23:09:52,0,100,81,1,2017-09-28 23:09:52,R_2xDi0mqH6PIQtRo,anonymous,EN,,,,,,,4,,,,,,"it should be looked at a service to consumers to better themselves, however, the security has to be tight because this could be very sensitive information"
2017-09-28 23:08:30,2017-09-28 23:10:59,0,100,149,1,2017-09-28 23:11:01,R_9MFZZ1XHFNIymjf,anonymous,EN,,3,,,,,,,,,,,"I think the customers should decide if they are close. I don't think s computer algorithm could take everything into consideration "
2017-09-28 23:24:28,2017-09-28 23:30:07,0,100,339,1,2017-09-28 23:30:08,R_1lnQQVNcHOtz7OK,anonymous,EN,,,,,,,,,,5,,,"Because the CEO wants people to have as much freedom as possible on the road, while also remaining safe which is very much necessary."
2017-09-28 23:34:04,2017-09-28 23:35:28,0,100,84,1,2017-09-28 23:35:29,R_1gw1x7hrtLK3lct,anonymous,EN,,,5,,,,,,,,,,The CEO is testing a program that is intended to better the product in the future without harming anyone.
2017-09-28 23:33:27,2017-09-28 23:36:38,0,100,190,1,2017-09-28 23:36:39,R_5zry1Tpe6WinUnT,anonymous,EN,,,,,5,,,,,,,,I think that the health related test is appropriate however I would think that the customer could choose which test to run rather than the researcher making a random choice
2017-09-29 00:01:04,2017-09-29 00:01:47,0,100,43,1,2017-09-29 00:01:48,R_1pFnJmYp42Wmjfc,anonymous,EN,,,,,,,,,1,,,,He's testing on humans without their complete knowledge
2017-09-29 00:01:03,2017-09-29 00:02:30,0,100,87,1,2017-09-29 00:02:31,R_WBxNmaSVt9F32St,anonymous,EN,,,,5,,,,,,,,,I don't see why it would be inappropriate to offer to provide information that could be useful to a patient's health. They have the choice of whether or not they want to see the health genetics tests or not.
2017-09-29 00:01:06,2017-09-29 00:03:40,0,100,153,1,2017-09-29 00:03:40,R_1di5qp1EeosnGsW,anonymous,EN,,,,,,,,5,,,,,If people want to see these results and get this kind of information it seems very appropriate for the company to provide it to the consumer. I don't see why they wouldn't provide the service.
2017-09-29 00:08:42,2017-09-29 00:10:40,0,100,118,1,2017-09-29 00:10:41,R_V4oBgWyljyGQCbf,anonymous,EN,,,,,,,,,,,5,,"Because there is error on a self driving car that can be avoided by the decision of a human driver.  If the human see a car making the wrong decision, they can jump in and accident and death will be avoided."
2017-09-29 00:09:41,2017-09-29 00:12:03,0,100,141,1,2017-09-29 00:12:04,R_AiBhM1etGqPZsk1,anonymous,EN,,,,,,2,,,,,,,"I am not sure if the director decided to run the experiment without the knowledge of the people. If he did, that would make it inappropriate because the people should know their being tested and approve it. If it was approved, then it's not fair to test half for cancer and the other half for dementia. "
2017-09-29 00:32:18,2017-09-29 00:32:52,0,100,33,1,2017-09-29 00:33:00,R_2vjNWxFxvXsBMhu,anonymous,EN,,,,,,,,,,,,4,I like the fact that he's trying new ways. it might be a little dangerous though.
2017-09-29 01:01:48,2017-09-29 01:07:46,0,100,357,1,2017-09-29 01:07:47,R_3Ooz84nAhzte85g,anonymous,EN,,,,4,,,,,,,,,"I feel like the research director is looking out for the customers well being. If I participated in the genetic testing and something negative showed up on the test I would like to know. "
2017-09-29 01:09:04,2017-09-29 01:12:22,0,100,198,1,2017-09-29 01:12:23,R_3FLhFdUXr1GPKj3,anonymous,EN,,,,,,,,,,,5,,I think this is the most and safe fair option. Technology can make mistakes and people should be able to take control if necessary.
2017-09-29 01:17:18,2017-09-29 01:23:17,0,100,359,1,2017-09-29 01:23:18,R_2PpqHxjj26YWzdU,anonymous,EN,,,,,,2,,,,,,,"I'm unclear on whether the customers know these tests are being done in addition to the ancestry.  If not, I think it is wrong for the director to run them.  They should only be done if someone requests them and then whichever the customer chooses rather than randomly."
2017-09-29 01:25:15,2017-09-29 01:26:04,0,100,48,1,2017-09-29 01:26:05,R_Wp4LJYroUvw8LE5,anonymous,EN,5,,,,,,,,,,,,"I think that is part of the point of the website, trying to find someone who is very similar to you and what you're looking for."
2017-09-29 01:30:12,2017-09-29 01:30:52,0,100,39,1,2017-09-29 01:30:53,R_2wMH7UDXdf6nxbh,anonymous,EN,,,,,3,,,,,,,,nice
2017-09-29 01:38:43,2017-09-29 01:40:22,0,100,99,1,2017-09-29 01:40:23,R_1obsgdozGghxR7o,anonymous,EN,,,,,,,,4,,,,,It is a good idea to have this option readily available for customers that want to take advantage. The only thing that bothers me is if insurance companies could get a hold of this information.
2017-09-29 02:09:18,2017-09-29 02:10:37,0,100,78,1,2017-09-29 02:10:37,R_Q6qpt2eSXmZy4al,anonymous,EN,,,1,,,,,,,,,,"the way he has chosen to match people defeats the purpose of the website, and is lying to people."
2017-09-29 02:10:19,2017-09-29 02:12:06,0,100,107,1,2017-09-29 02:12:07,R_6g6d6RoLdgd2JgZ,anonymous,EN,,5,,,,,,,,,,,"Seems like a reasonable approach to me. Would result in more matches to choose from and let’s face it, most people don’t want a partner who is exactly the same as them."
2017-09-29 02:54:11,2017-09-29 02:55:17,0,100,66,1,2017-09-29 02:55:18,R_PClz6pzwZqUJdRL,anonymous,EN,,,,,,,,,,4,,,The safety of the auto driving would be higher but in an emergency the human might need to take control
2017-09-29 02:56:35,2017-09-29 02:58:41,0,100,125,1,2017-09-29 02:58:42,R_wMMKPI7Fx6Jl24F,anonymous,EN,,,,,,,5,,,,,,"The CEO is helping people so this is appropriate. He wants to stop people from becoming sick, which is the right thing to do."
2017-09-29 03:09:46,2017-09-29 03:14:38,0,100,291,1,2017-09-29 03:14:39,R_3Hv0CCHPwvxHEQe,anonymous,EN,,,,,,,,,4,,,,As he will offer the other half the option to see if they have any genetic risks for health conditions
2017-09-29 03:16:58,2017-09-29 03:22:55,0,100,356,1,2017-09-29 03:22:55,R_UK1rJBwD8NZHTHP,anonymous,EN,,,,,,,,,,,,4,"giving consumers options as to how much human interaction can override self driving cars appeals to different comfort levels among consumers concerning their confidence in self driving cars.  The more hands-on performance driver will appreciate the use of brakes, gas or steering inputs to override the self driving mode."
2017-09-29 04:15:16,2017-09-29 04:17:06,0,100,110,1,2017-09-29 04:17:07,R_2R85L3PrHE3UEOO,anonymous,EN,,,,,,,,4,,,,,"I think it was great of the CEO to do this and give the people the opportunity .  It makes him look like a good guy and it probably helps the clients out alot. "
2017-09-29 04:41:22,2017-09-29 04:42:30,0,100,68,1,2017-09-29 04:42:30,R_29b8Ow3dYPjjpLE,anonymous,EN,,4,,,,,,,,,,,I think it's appropriate depending on how it's presented. If you let the users know how big of a match they are the lesser matches would be identified to them
2017-09-29 04:54:24,2017-09-29 04:57:05,0,100,161,1,2017-09-29 04:57:06,R_3R8v3feNY8hDF0K,anonymous,EN,,,,,,,,,4,,,,"I think that either way the CEO is trying to help his clients. I think that this is a step in the right direction, alerting all clients about any existing conditions that are preventable or curable so that they can take action to do so. In addition, he is offering additional information that can be made available upon request. But perhaps all clients should learn about both the preventable and unpreventable diseases and illnesses so that they are aware and can take appropriate action."
2017-09-29 05:12:51,2017-09-29 05:14:37,0,100,105,1,2017-09-29 05:14:38,R_1K3AVUYzIdeX6MD,anonymous,EN,,,,,,3,,,,,,,"Not really sure if it is or isnt. Guess the extra testing doesn't have to be done, but seems arbitrary and random to just give half one and half the other."
2017-09-29 05:59:06,2017-09-29 06:00:41,0,100,95,1,2017-09-29 06:00:42,R_12bQJzayy7gQtJ2,anonymous,EN,,,,2,,,,,,,,,"Unless the company has gotten permission from the users to use their material to test for this, it's completely inappropriate for them to make the unilateral decision to do this.  I know they're all only trying to help, but it's up to the end user to decide if they want to have this tested or not."
2017-09-29 06:54:31,2017-09-29 06:58:35,0,100,243,1,2017-09-29 06:58:36,R_piWMY47sgEYnb4B,anonymous,EN,,,,,,,,,,,5,,Because when a unexpected glitch due any number of reasons occurs the human driver/passenger will be able to take control and avoid danger.
2017-09-29 07:01:40,2017-09-29 07:03:41,0,100,121,1,2017-09-29 07:03:42,R_r1GwQ2KxpHQlCMx,anonymous,EN,4,,,,,,,,,,,,No two adults can agree or be the same in what their opinions or how they live.  Besides that would be quite boring!
2017-09-29 07:36:24,2017-09-29 07:37:55,0,100,91,1,2017-09-29 07:37:55,R_22zwDIhlD6CXAam,anonymous,EN,,,,,5,,,,,,,,I THINK THAT THIS IS A WONDERFUL THING TO KNOW ABOUT ONES HEALTH.  I WOULD WANT TO KNOW AS MUCH AS I COULD ABOUT MY HEALTH AND POSSIBLE ILLNESSES.
2017-09-29 07:40:09,2017-09-29 07:42:33,0,100,144,1,2017-09-29 07:42:34,R_1gorgwFEsxlGtK5,anonymous,EN,,,,,,,,,,5,,,"I don't like the idea of self-driving cars in the first place; there's always a chance that something will go wrong, that the person will be crashed into by another car that ISN'T self-driving and can't get out of the way fast enough, or that the person just might want to change their mind about where they're going. I prefer the freedom to drive however I want; having complete control helps me to relax while on the road."
2017-09-29 07:46:29,2017-09-29 07:49:02,0,100,152,1,2017-09-29 07:49:03,R_2P1AEQFWYSQz0bV,anonymous,EN,,,,,,,,,,,,2,"It doesn't seem like a dangerous choice the CEO made, but it isn't ethical to do this kind of experiment without informing the consumer. "
2017-09-29 08:23:56,2017-09-29 08:28:12,0,100,255,1,2017-09-29 08:28:12,R_3G7FgnukFpSSISq,anonymous,EN,,,5,,,,,,,,,,The CEO should be able to do whatever he wants with his website. If people don't like the way things are being done they can leave the website.
2017-09-29 08:27:50,2017-09-29 08:30:33,0,100,162,1,2017-09-29 08:30:34,R_1nVACPsRXsSP4K3,anonymous,EN,,,,,4,,,,,,,,"I agree that many or most people would likely want to learn about their risk for dementia. However, I believe that more serious diseases such as cancer would be better choices for this single risk screening."
2017-09-29 08:26:30,2017-09-29 08:31:25,0,100,295,1,2017-09-29 08:31:26,R_3JEtHbyzGeswRoz,anonymous,EN,,,,,,,5,,,,,,If you're going to go so far as to research your heritage it makes perfect sense to me to look further into your medical history to see what ailments you could possibly contract.
2017-09-29 08:40:19,2017-09-29 08:41:17,0,100,58,1,2017-09-29 08:41:18,R_10SBHh9Ax5WHlPw,anonymous,EN,,,,,,,,5,,,,,"People have every right to know what health risks they have, even if there is nothing that can be done about them. "
2017-09-29 09:05:43,2017-09-29 09:06:43,0,100,59,1,2017-09-29 09:06:44,R_1K8bNajfvssbYht,anonymous,EN,,,,,,,5,,,,,,"If I was researching my genealogy and it turned up a health-threatening genetic mutation, I would certainly want to be made aware of it."
2017-09-29 09:07:19,2017-09-29 09:09:31,0,100,131,1,2017-09-29 09:09:31,R_3qIkI6oqwa5W8bo,anonymous,EN,,,,3,,,,,,,,,I think the testing and the choice of whether to view the test results should be up to the individual customer.
2017-09-29 09:32:48,2017-09-29 09:34:18,0,100,90,1,2017-09-29 09:34:19,R_3snBladJCY2BATz,anonymous,EN,,,,,,2,,,,,,,The doctor should consult with patients prior to conducting the tests.  It is inappropriate to conduct the test without patient's consent.
2017-09-29 10:19:38,2017-09-29 10:23:07,0,100,209,1,2017-09-29 10:23:07,R_1ClLqlMBmITSAmv,anonymous,EN,,,,,,,,,1,,,,If you know you have these traits than youcan do things that help treat it or prevent it.
2017-09-29 10:32:45,2017-09-29 10:33:25,0,100,39,1,2017-09-29 10:33:28,R_8090HwWOt1pcuqZ,anonymous,EN,,,,,,,,,,,5,,Humans can still be smarter than machines
2017-09-29 10:33:02,2017-09-29 10:34:41,0,100,99,1,2017-09-29 10:34:42,R_0jociSiWBtpmTZL,anonymous,EN,,,,,,,,,,,,1,If people choose to have self driving cars then they should have some control over them. If they want to drive them their selves then they may.
2017-09-29 10:35:35,2017-09-29 10:36:32,0,100,56,1,2017-09-29 10:36:32,R_3s0871QiK1v2u0U,anonymous,EN,4,,,,,,,,,,,,I find it the appropriate answer.
2017-09-29 11:37:46,2017-09-29 11:39:51,0,100,124,1,2017-09-29 11:39:52,R_2Y8ROcyUf6j5auW,anonymous,EN,,3,,,,,,,,,,,"it seems like it's neither appropriate nor inappropriate because there is no way to know if this will help people find better matches. We don't know if this will be better or worse so it seems more like an experiment that cannot yet be judged. "
2017-09-29 11:39:19,2017-09-29 11:40:20,0,100,61,1,2017-09-29 11:40:21,R_2CwFCeAeEmqwTZ3,anonymous,EN,,,,,,,,,,4,,,This makes the most sense from a consumer perspective. You have the choice of using your self-driving mode or taking control as you see fit.
2017-09-29 11:33:56,2017-09-29 11:44:48,0,100,652,1,2017-09-29 11:44:49,R_2bOAYsgoXaeP0bI,anonymous,EN,,,1,,,,,,,,,,"The original system is based on the customers tastes and habits.  If the criteria is changed to just
similar answers; the quality of the matches will suffer.  This is not fair to the customers."
2017-09-29 11:54:43,2017-09-29 11:55:50,0,100,67,1,2017-09-29 11:55:51,R_3qyDrFVtB2XZXWb,anonymous,EN,,2,,,,,,,,,,,i would want matches of people who were somewhat similar to me and not identical to me
2017-09-29 12:40:10,2017-09-29 12:40:53,0,100,42,1,2017-09-29 12:40:54,R_2DTEs42gZzWXihs,anonymous,EN,,,3,,,,,,,,,,it seems like its the right one to make.
2017-09-29 12:46:41,2017-09-29 12:47:58,0,100,76,1,2017-09-29 12:47:59,R_1jP6w1ICfBoiS7c,anonymous,EN,,,,,,,5,,,,,,The more you know about your health the better.
2017-09-29 12:49:12,2017-09-29 12:49:42,0,100,29,1,2017-09-29 12:49:43,R_1erWDs2paCntSKs,anonymous,EN,4,,,,,,,,,,,,Isn't that what online dating services are about? :)
2017-09-29 13:33:42,2017-09-29 13:36:15,0,100,152,1,2017-09-29 13:36:16,R_XYcCMXzrBUn13cR,anonymous,EN,,,,,,4,,,,,,,It provides more information about the person that they wouldn't know otherwise.
2017-09-29 13:43:07,2017-09-29 13:47:08,0,100,241,1,2017-09-29 13:47:09,R_20PvZ1E3nol9Nvw,anonymous,EN,,,,,5,,,,,,,,Because if the researcher can find that there could be a way to determine a genetic disposition through his research I think it's a good thing he's testing for it. And I think giving people the option to review the results is appropriate because maybe some people won't want to know the results.
2017-09-29 14:20:37,2017-09-29 14:22:07,0,100,90,1,2017-09-29 14:22:08,R_DBoJ8vM62AcAkdX,anonymous,EN,,,,,,,,,,5,,,"The CEO or the company could be held liable in an instance where an individual is in a serious accident where the car was taking over and the human could not intervene in order to prevent accients. "
2017-09-29 15:46:34,2017-09-29 15:47:58,0,100,83,1,2017-09-29 15:47:58,R_3MLuL6NECIP2TnV,anonymous,EN,,,,,,,,,3,,,,I think it's a fine experiment. So long as people have a choice in finding out
2017-09-29 16:27:34,2017-09-29 16:30:18,0,100,163,1,2017-09-29 16:30:18,R_1JXdkgrMfAu6RYN,anonymous,EN,,,,,,,,,,,5,,"Human override is important in emergency situations. Combination of modern technology and human wisdom, experience, and reflexes works best together. "
2017-09-29 16:52:15,2017-09-29 16:56:09,0,100,233,1,2017-09-29 16:56:09,R_1H5oXqaPsCmzfKl,anonymous,EN,,,,2,,,,,,,,,I chose the option because the test is suppose to be for ancestry. Testing for health related problems should not be included in the test by this company in my opinion.
2017-09-29 17:41:29,2017-09-29 17:43:30,0,100,120,1,2017-09-29 17:43:31,R_3kccBuIB668meZk,anonymous,EN,,,,,,,,5,,,,,It is appropriate because he is helping others. I would take the test.
2017-09-29 17:57:19,2017-09-29 17:59:43,0,100,144,1,2017-09-29 17:59:44,R_33rLtOFerUGV2Hw,anonymous,EN,,,,,,,,,,,,3,"Well, it's an experiment, so I wouldn't say that either option given is appropriate or inappropriate. They have similar functions but are executed differently."
2017-09-29 17:58:38,2017-09-29 18:00:37,0,100,119,1,2017-09-29 18:00:38,R_3el7BDkyP3K3cU8,anonymous,EN,,,,,,,,,4,,,,"It's a test trial so he can see which option people respond to better and I agree with his decision both ways because the people have to find out anyways whether it's good or bad news, but it's just how they can take the news that counts"
2017-09-29 19:09:00,2017-09-29 19:11:30,0,100,149,1,2017-09-29 19:11:30,R_2Pd0OLcJWULqfkM,anonymous,EN,5,,,,,,,,,,,,"The CEO's decision would improve customer satisfaction and allow users to have more options and freedom when using the service so I think the decision was appropriate. "
2017-09-29 19:34:14,2017-09-29 19:38:11,0,100,237,1,2017-09-29 19:38:12,R_aaEBiNr96kpVa7L,anonymous,EN,,,,,1,,,,,,,,"Those taking the genetic tests should be informed prior to taking the test... I think it's inappropriate (unethical) to just sneak that test in that way, otherwise.  It demonstrates a real lack of transparency...  "
2017-09-29 20:43:04,2017-09-29 20:46:17,0,100,192,1,2017-09-29 20:46:17,R_6hz3wx7Z5HEadiN,anonymous,EN,,,4,,,,,,,,,,"When you build your own business of course you are going to make it better and better you going to find ways to search the individual opinion. "
2017-09-29 21:16:10,2017-09-29 21:18:27,0,100,136,1,2017-09-29 21:18:27,R_3iPWFBZsdTBsThm,anonymous,EN,,,,,,,,,,5,,,"When it comes to any type of machine,  humans should always have an option to ultimately control the machine,  in this case, a car. It just add another level of overall safety in case the car itself fails. "
2017-09-29 23:23:02,2017-09-29 23:26:18,0,100,196,1,2017-09-29 23:26:19,R_1DnTDF3O2MUl4hV,anonymous,EN,,,,,,,,,,,5,,People should have the choice to control their own cars if they want to.
2017-09-30 00:31:01,2017-09-30 00:32:42,0,100,100,1,2017-09-30 00:32:42,R_23942DpzfroIkH5,anonymous,EN,,,,1,,,,,,,,,"even though customers signed up to learn about ancestry, it gives customers more incentive to learn about their ancestry"
2017-09-30 00:40:31,2017-09-30 00:41:59,0,100,87,1,2017-09-30 00:42:00,R_rdx5BqWpvRrIelj,anonymous,EN,,,,,,,,5,,,,,I believe it is important to have full disclosure in revealing any information obtained from these tests.  Withholding genetic information seems immoral.
2017-09-30 00:56:46,2017-09-30 00:57:42,0,100,55,1,2017-09-30 00:57:55,R_2WCOqch75VCa3Ex,anonymous,EN,,,,,,,5,,,,,,I think its admirable that he wants to help so many people.
2017-09-30 00:58:00,2017-09-30 01:05:09,0,100,429,1,2017-09-30 01:05:10,R_2YGiNSR71ueEL3B,anonymous,EN,,,,,,3,,,,,,,Health should not be an experiment and be complete to all
2017-09-30 01:56:17,2017-09-30 01:57:37,0,100,79,1,2017-09-30 01:57:38,R_1cV6RtTAZXQphc9,anonymous,EN,,,,,,1,,,,,,,They should not be randomly testing people without their consent.
2017-09-30 04:36:09,2017-09-30 04:38:45,0,100,156,1,2017-09-30 04:38:45,R_2PnYrsC2QeiZ2Re,anonymous,EN,,,,,,,,,,,,1,"I am still very skeptical about complete self driving car. I think people should be able to switch modes at easy. "
2017-09-30 10:07:26,2017-09-30 10:08:22,0,100,56,1,2017-09-30 10:08:23,R_x5EWJ4Oz0tu18it,anonymous,EN,5,,,,,,,,,,,,Okcupid does the same thing. It shows how much of a match you are to the other person.
2017-09-30 10:26:26,2017-09-30 10:29:08,0,100,162,1,2017-09-30 10:29:09,R_yD9qxb3WF1OiK3L,anonymous,EN,,,3,,,,,,,,,,I have not dealt with such an issue before. This would really be a hard thing to do or think about the right way to do this.
2017-09-30 11:29:00,2017-09-30 11:32:34,0,100,214,1,2017-09-30 11:32:35,R_1P66f3nrp0ODUyA,anonymous,EN,,,,,,,5,,,,,,"The offer to see any genetic issues you might have is completely for the health of others. It is a good idea, and might help prevent diseases."
2017-09-30 11:29:58,2017-09-30 11:34:11,0,100,252,1,2017-09-30 11:34:12,R_2sRXtk5W7OJ2MTq,anonymous,EN,,,,3,,,,,,,,,"I think it's a good choice
"
2017-09-30 11:42:01,2017-09-30 11:43:54,0,100,112,1,2017-09-30 11:43:55,R_2awMbMGXueLyxXI,anonymous,EN,,,,,,,,4,,,,,"Because to offer this, it would mean that people could start to take precautions to better their lives and try to prevent genetic illnesses. "
2017-09-30 12:17:32,2017-09-30 12:18:11,0,100,39,1,2017-09-30 12:18:11,R_r7M7psIHfBT8k4V,anonymous,EN,,,,,,,,,,,2,,Human error is much more likely than machine error.
2017-09-30 12:12:41,2017-09-30 12:24:30,0,100,709,1,2017-09-30 12:24:31,R_1rfBcdztxG2iE2M,anonymous,EN,,,,,,,,,2,,,,"I think the CEO should offer all the relevant risks available to the client, preferably on a scale where the degree of the risk determines its placement, with minor risks being the first to be discussed and severe risks being the last. I thought the decision was somewhat inappropriate because it seems that the company lacks any real basis for only sharing treatable risks versus those that cannot be treated, especially given that a client could opt to view the complete results in either option. I'd feel me trust in a company were abused if I learned they carried out a strategy such as the one described above. It just doesn't seem ethical to withhold information based on random conditions, only then to offer the complete set of results, as if that's supposed to appear anything but an arbitrary choice at that point. I'd say the decision was very inappropriate if not for the fact that the CEO's company is offering a service of an apparently great worth to people, and potentially lifesaving for clients. "
2017-09-30 12:55:46,2017-09-30 12:57:44,0,100,117,1,2017-09-30 12:57:44,R_x6kVJ542HUBLXEt,anonymous,EN,,3,,,,,,,,,,,"I think the CEO wants to try to increase the number of potential matches (which might be good for the customer), but it's a little shady because the customers are being matched up with people who may not fit their needs or desires. I think the appropriateness of the situation depends on how the company advertises itself.  You want to maintain integrity, but also increase opportunities for love matches."
2017-09-30 13:17:56,2017-09-30 13:20:05,0,100,129,1,2017-09-30 13:20:06,R_1F9xvYK2Hirpza4,anonymous,EN,,,,,,,,,,,,4,"It's appropriate that the CEO gives people and option between self driving and human driving cars. However, the option may confuse others or make it difficult for self driving cars to operate properly."
2017-09-30 13:26:49,2017-09-30 13:28:01,0,100,71,1,2017-09-30 13:28:01,R_1jrf28NP6RGbkPX,anonymous,EN,,5,,,,,,,,,,,I think a good couple is similar somewhat but not exactly the same.
2017-09-30 13:41:31,2017-09-30 13:42:32,0,100,60,1,2017-09-30 13:42:32,R_27m4yRJ9UeaI3M2,anonymous,EN,,,,5,,,,,,,,,"Cancers are the most likely possible future health problem, so if he can only choose one other thing to test for, I think that's best."
2017-09-30 14:12:27,2017-09-30 14:14:39,0,100,132,1,2017-09-30 14:14:40,R_1FPbCUqhvk1nPJe,anonymous,EN,,,3,,,,,,,,,,"I understand his choice. it certainly wouldn't harm anyone who already chose to join a ""not for sure"" thing. It will also make the service more reliable in the future. "
2017-09-30 14:33:36,2017-09-30 14:36:36,0,100,179,1,2017-09-30 14:36:36,R_2ANi30ocmRYH3sv,anonymous,EN,,,,,4,,,,,,,,"I feel that it is mostly appropriate. Maybe I'm a little biased because I personally would be interested in knowing my risks. However, it's a little inappropriate to choose what someone will be tested for or to use their genetic material for what you(researcher) chooses to, even if the customer has the choice of knowing the results or not."
2017-09-30 14:39:38,2017-09-30 14:39:53,0,100,14,1,2017-09-30 14:39:54,R_3MgLrQg8gvn8Wfv,anonymous,EN,,,,,,,,,,2,,,CEO being selfish
2017-09-30 14:41:59,2017-09-30 14:43:13,0,100,73,1,2017-09-30 14:43:14,R_3FVA1DDJt4GiofP,anonymous,EN,,,,,,,,,,,5,,I think it would be the safest way to make sure that drivers are safe in case of emergency. There should be a way to override it just in case.
2017-09-30 14:51:23,2017-09-30 14:56:09,0,100,285,1,2017-09-30 14:56:09,R_1fiMh6uYzBri2Jd,anonymous,EN,,,,,,,,,2,,,," Well for one mentally this can cause great harm.. If you have a health condition you can do nothing to control  them. They need to have the advice of a doctor not this company because tests can be wrong. They need someone to help them understand there are things that can be done and you can watch health conditions so they do not get worse and you can live as long as you are able. "
2017-09-30 15:10:27,2017-09-30 15:12:01,0,100,94,1,2017-09-30 15:12:01,R_C7UNC6ZhicGeEVP,anonymous,EN,,,,,,,5,,,,,,"While learning about one's genealogy is interesting, it also helps to know if there are certain health risks due to our genes that we might not be aware about. It would help people make changes in their lifestyle to reduce the risk/prevent an illness."
2017-09-30 15:29:20,2017-09-30 15:32:11,0,100,171,1,2017-09-30 15:32:12,R_eRTJsJQ3p4zhC3n,anonymous,EN,,,,,,,,5,,,,,People can make up their own minds if they want to see their own genetics including risks. It is wrong for the medical establishment to be gatekeepers on information about people's own bodies.
2017-09-30 16:01:45,2017-09-30 16:04:32,0,100,166,1,2017-09-30 16:04:32,R_3PELbGfERQy3yGG,anonymous,EN,,,,,,,,5,,,,,I was raised in orphange and didn't know my family history so this is very interesting to me.
