StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,FreeResponse,xA2,FreeResponse,xA5,FreeResponse,xA12,FreeResponse,xA6,FreeResponse,xA7,FreeResponse,xA8,FreeResponse,xA9,FreeResponse,xA14,FreeResponse,xA3,FreeResponse,xA10,FreeResponse,xA13,FreeResponse,xA15,FreeResponse,xA11,FreeResponse,xA4,FreeResponse,xB1,FreeResponse,xB2,FreeResponse,xB5,FreeResponse,xB12,FreeResponse,xB6,FreeResponse,xB7,FreeResponse,xB8,FreeResponse,xB9,FreeResponse,xB14,FreeResponse,xB3,FreeResponse,xB4,FreeResponse,xB10,FreeResponse,xB11,FreeResponse,xB13,FreeResponse,xB15,FreeResponse,Sex,Race/Ethnicity,Age,Education,Income,FreeResponse - Topics
10/20/17 19:10,10/20/17 19:18,0,98.18.125.94,100,467,1,10/20/17 19:18,R_3NwBluSuIAlzEkM,,,,,34.72509766,-83.51080322,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,There is nothing inappropriate here. They are just trying to make this job seem more appealing.,4,"I think the CEO's decision to send this birthday card is with good intentions, he may genuinely care about the health and wellness of his employees, and adds a little bit of humor to maybe lighten the subject some, but could be viewed as inappropriate by some people.",5,He is helping people of a lower income by providing them with shelter. He is using this money that is donated to the charity for a good and charitable reason.,2,I think this is inappropriate because he is in a way forcing the employees of his company to purchase a service in order to listen to popular music.,4,"If both of the drugs do the same thing and have little to no side effects for the patient, I think it's appropriate that he chooses to prescribe drug B. ",,,,,,,,,,,2,3,29,3,3,
10/20/17 19:15,10/20/17 19:18,0,99.109.11.179,100,203,1,10/20/17 19:18,R_1msAOPbmNs7B9d6,,,,,27.24980164,-80.37969971,anonymous,EN,5,It protects his workers and the patients.  ,5,It’s affordable and a manageable condition.,5,The help is going to the people that really need it.,5,He wants his employees to invest in themselves,5,Everyone deserves a bonus.  Especially during the holidays.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,40,3,3,
10/20/17 19:12,10/20/17 19:18,0,74.137.60.167,100,357,1,10/20/17 19:18,R_10Yt1fcydgSZQZy,,,,,38.28129578,-85.84010315,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,It is appropriate because it best protects the patients.  Working long hours will make the doctors used to being on call overnight as well.,5,The doctor chose the best option for the patient as far as I can tell.  I know nothing about the negative side effects of drug B.,4,"As long as these people are all below the poverty line, they are all in need and all eligible.  Equally does not means spend more, just distribute more fairly.",4,I would be overwhelmed by many options too and would find it easier to choose if there weren't as many.,2,"The teachers already have large breaks off from work during summer, fall, and winter break.  I think this is plenty in itself.",,,,,,,,,,,,,,,,,,,,,2,3,28,4,2,
10/20/17 19:10,10/20/17 19:18,0,24.254.214.230,100,496,1,10/20/17 19:18,R_1r85DayeDaMEXD4,,,,,36.79679871,-76.17669678,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"I think for the awareness and ease of scheduling, less than 24 hours is best, however it is not all great. It would take longer to learn what could be done over the course of working a whole day shift.",4,I think that this is probably the right decision. It is the right mix between helping patients and having them not feel too bad afterwards. ,4,"I think provided that everyone meets the requirements, this is a good idea. It would give people a basic idea of how much they could earn and how to make ends meet.",2,"I do not think that is the best idea. At this point, I would think most people know what is best for their families and it is just dumbing down the system. ",5,"The additional days would not only make the students happy, but also the teachers. Also, I think it would make the teachers more refreshed. ",,,,,,,,,,,,,,,,,,,,,1,1,39,6,3,
10/20/17 19:14,10/20/17 19:19,0,24.186.178.171,100,264,1,10/20/17 19:19,R_W9edOQc7UfWs3bX,,,,,41.03930664,-73.81009674,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,He is doing what he thinks is best for the baby.  This is within the acceptable range of oxygen levels.,4,"He means well and does what he thinks will help the people.  However, he neglects to consider that donors did not want their money used that way as other things could be more helpful.",5,"It is incentivizing people to work.  It iwll motivate them to get a job, which will make our taxes cheaper.",5,"He lets the employees change afterward if they don't like it so he is not invading their freedom of choice.  He selects the most popular plan, not the cheapest one, so he is looking out for them.",5,"It's his choice on how to run his business.  Only thing he should care about is profitability.  If people don't like the long block of an ad, they can pay to upgrade to premium service.  I have no issues with his decision since it is good economic sense.",1,3,33,4,4,
10/20/17 19:12,10/20/17 19:19,0,73.240.34.159,100,369,1,10/20/17 19:19,R_2xJbWPA8X02emdf,,,,,44.06900024,-123.0825043,anonymous,EN,,,,,,,,,,,5,Motivate people to help others around them and make an impact in their lives. ,2,Getting a coupon for a colonoscopy is not going to increase the number of people who want them. ,3,Helps provide food so they can save money for other things but won't help them escape poverty ,3,"This can turn people off the project so they will using the project all together, or they will be bothered enough to upgrade ",4,One treatment might not be appropriate for every single patient. The other drug may be more effective for them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,24,4,2,
10/20/17 19:10,10/20/17 19:19,0,172.58.44.228,100,526,1,10/20/17 19:19,R_plnT2CnEekd7biN,,,,,47.31010437,-122.2042007,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,Three months of food will help these families survive while seeking out possible forms of income. One less worry on them.,5,This encouragement to enroll might increase new employees loyalty to remain in the company for a long period of time. This loyalty will increase morale and performance over the long haul! ,1,Omg. Too frequent on the ads. He's gonna lose all his customers!,5,"This seems logical, and fruitful in the long run, but I hope the job fairs are also about teaching people. Helping people increase and add to their skill set.",4,I would prefer if the levels were set just a bit higher. Perhaps 87-93?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,39,3,3,
10/20/17 19:09,10/20/17 19:19,0,108.81.4.13,100,571,1,10/20/17 19:19,R_3KZPQNuSlANzT6T,,,,,35.60499573,-82.3132019,anonymous,EN,5,16 hours is a long time to be awake and performing medical procedures. It is best to be safe and protect the patients.,4,"The side effects of the drug are manageable, and the drugs can help keep patients healthier. In addition the drugs are affordable.",4,Government welfare is a necessary evil for some. People the farthest below the poverty likely have no other options.,5,The CEO is giving more options to his employees that might encourage some to invest for their retirement. The CEO is also leaving the decision up to each individual employee in how to proceed.,3,"Higher teacher salaries are definitely a good thing, however I'm not sure how effective this will be in regards to student outcomes. There are many things that can go into a teacher's mood, and a random teacher's mood on a random day probably has little to do with a bonus that they got last year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,29,6,3,
10/20/17 19:12,10/20/17 19:19,0,72.94.202.188,100,419,1,10/20/17 19:19,R_12Daqjirpvx94R3,,,,,40.14419556,-74.84829712,anonymous,EN,,,,,,,,,,,5,"Advertising is effective, and they're going for people who like the idea of helping others, which are the kind of people you'd want. Also, there are lots of minor medical problems or questions that could be answered by someone knowledgeable who isn't necessarily an expert like a doctor or nurse would be, and they could refer more serious cases.",4,"I can see where some people might find it offensive, but I think it's a cute way to remind people that colonoscopies are important",4,"I only marked it as ""somewhat appropriate"" because there's not enough information to tell if that's a good decision for that population. If the country is largely urban, livestock won't help, for instance. If it is helpful for that group, though, it sounds like a solid plan",3,"It sucks, but it's his company. The customers are free to choose another service ",3,"If the drugs are truly interchangeable, then it doesn't matter what he chose. But he should still consider other factors such as availability and whether there are drug discount cards for one or the other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,36,6,3,
10/20/17 19:11,10/20/17 19:20,0,104.162.76.86,100,533,1,10/20/17 19:20,R_2pWC1UfCAO5C2o3,,,,,40.64059448,-74.01689911,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,some babies may need certain levels for some reason their own doctor needs to see what is best for them,4,it will allow these people to continue to make money themselves if successful.,5,it will help these people save some money while working to catch up,4,"Because its making a good decision and they can always pull out ,I think people don't want to take the time to do it or don't know enough about it to make the right decisions.",2,Because its really annoying to do that when you just want to hear music,2,3,45,3,2,
10/20/17 19:15,10/20/17 19:20,0,47.203.189.118,100,283,1,10/20/17 19:20,R_3ixpzedYVrNUiOT,,,,,27.90539551,-82.71360016,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,You need some way to recruit good people. ,5,Shows the CEO really cares about his employees. ,4,A new roof may not be the most important thing for every.  Other things may be more valuable.,2,It is a dishonest way to force people to upgrade to a premium service.,5,It sounds like both drugs are equally good.,,,,,,,,,,,2,3,55,4,5,
10/20/17 19:13,10/20/17 19:20,0,50.102.132.173,100,409,1,10/20/17 19:20,R_24HrTFD3Iq63ah5,,,,,41.09959412,-85.06349945,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Doctors need rest to deal with patients, they are humans just like everyone else, this is one profession that needs to take care of itself and the accrediting body has made the correct call.",5,"He has a right to make health decisions for his patients, and his patients also have a right to question him if they think his choices are poor. ",4,"When stigma is taken away and people have enough money to spend on actual needed living expenses, food and housing, they might have more to put into getting and keeping a job.  ",2,"Let employees make the choice, if some are confused than making a 'top five' recommendation, or schedule training classes.",5,"If you've been even been in a school car pool lane at pick up time, and witnessed the craziness of middle schoolers for example, you might not question if teachers could use more vacation.  The decision was correct and really might help everyone in the long run.",,,,,,,,,,,,,,,,,,,,,2,3,39,4,5,
10/20/17 19:14,10/20/17 19:20,0,173.53.27.133,100,338,1,10/20/17 19:20,R_3FRtGYxHvOeXLJx,,,,,37.59489441,-77.57569885,anonymous,EN,2,I think it is still too long to go without adequate sleep.  Patients may be affected negatively.,5,It is a safe drug at a reasonable price.  He cares about his patients.,3,He is trying to help poor families.  I am not sure this is the best way but it is a possibility.,4,He wants staff to save for the future.  It is an ok incentive...perhaps a company match?,4,"He wants the students to do well, the teachers deserve the money, everyone is happy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,28,4,5,
10/20/17 19:12,10/20/17 19:20,0,47.17.230.74,100,477,1,10/20/17 19:20,R_294IFmHXzm4hijJ,,,,,40.62010193,-73.98680115,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"This decision is based on factual information. As such, the head of the hospital unit is correct in taking this action in order to increase the chance of survival for prematurely born children. ",5,"Helping adults to gain a life-long skill in a high-demand trade is the key to helping them to escape a life of poverty. This is a very admirable initiative that helps to tackle the root of the issue, rather than merely the symptoms. ",5,"The congress's decision provides a safety net for those who are less fortunate. Yet at the same time, this decision allocates resources towards encouraging and helping citizens who are receiving this stipend to get back on their feet by finding a job. ",5,"The CEO is just in taking this action to encourage his employees to opt into a retirement plan. If employees are not happy with this decision, they have the option of changing their investments or removing themselves from the plan.",4,"At the end of the day, it is important that the CEO is able to convert free users into paying users. I believe that placing one long advertisement after 8 songs is less intrusive than having shorter but more frequent advertisements. ",1,4,24,4,4,
10/20/17 19:15,10/20/17 19:20,0,71.231.138.160,100,322,1,10/20/17 19:20,R_3hrt3L83WLZIlT9,,,,,47.61019897,-122.3042984,anonymous,EN,,,,,,,,,,,5,The government is just thinking out the box. If there's a shortage why not employ people in the community.,4,It's out of the box thinking. I think it would work.,4,It's a good idea. I think they can become self-sufficient if you give them livestock.,2,I think it will drive people away. I think he will see profits fall.,5,They are both equally good. I think the doctor knows which medicine to prescribe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,35,4,2,
10/20/17 19:13,10/20/17 19:20,0,73.194.189.44,100,413,1,10/20/17 19:20,R_3ee2LLgvpGm7sKI,,,,,39.76460266,-74.28780365,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Providing additional health care options for people in remote areas would help those people a great deal.,2,"Even though it is done with good intentions, it is inappropriate for the CEO to suggest a course of treatment. Also, the card is in poor taste.",2,"By providing a roof for people he is being extremely generous. However, he will end up bankrupting his company from the cost and help less people as a result.",1,"By taking away the reason people use the service, he will be shrinking his user base instead of growing it. If he wants more users to purchase the premium, he should add not subtract things.",4,"There is no difference between drug A and B. Because there is no difference in effects, either drug can be prescribed.",,,,,,,,,,,1,3,45,3,2,
10/20/17 19:11,10/20/17 19:20,0,198.134.125.76,100,539,1,10/20/17 19:20,R_cAyqF2EVdEiowQp,,,,,34.05839539,-118.2779999,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"I've long realized that there's a shortage of doctors and nurses, and I've heard news reports say that those professions are not being sought out for career choices to the extent they once were. We do need programs designed to introduce new health care helpers into the health field, and those programs best be condensed into the minimal time necessary to do a competent job. ",3,I believe that would be decided on a case by case basis,5,This is a very sensible choice for this director to make,3,"I can see both sides of the story here, but still think the customer ought to be able to hear at least one of the most favorite tunes if only as bait.",3,The doc must have some reason why he prefers drug B.,,,,,,,,,,,2,3,73,4,2,
10/20/17 19:12,10/20/17 19:20,0,173.71.164.33,100,492,1,10/20/17 19:20,R_1IGIidGqC6XJavx,,,,,40.44129944,-80.10639954,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"I think this idea is just fine, as long as the doctors are 100% positive that anything above 95% AND UP is the ""danger zone."" Once they confirm this, then I think keeping the oxygen at 95% is fine to me.",1,"As long as people do not abuse this assistance and truly need the help, I am all for this. These could be hard working people, struggling to get by, and could use the extra push.",2,"While I am a little mixed on just giving people free money out of fear that they may simply just be lazy, I can respect the idea of making them attend job fairs so they have no choice but to look for work. At the same time, they can find a job, but not necessarily stick it out. Overall, I am mixed on this.",4,"As long as the employees do not feel obligated to start putting their money toward retirement, this is a fine idea. New hires can get the paperwork and understand all the works, but it still should be their choice if they feel ready to think about retirement savings.",1,"I understand services like this need to have ads, so they can make money and it will also sell the user to purchase the upgraded paid service to eliminate these ads. However, playing 8 minutes of ads is FAR TOO EXCESSIVE and I think will completely shut them off. ",1,3,29,4,3,
10/20/17 19:10,10/20/17 19:21,0,72.209.13.68,100,623,1,10/20/17 19:21,R_enRYhqd9XL6WlFv,,,,,41.77589417,-72.52149963,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,This is a great way to make a change in peoples life and help them get out of this bad situation,5,This Ceo cares about his people and wants to help so of course this is okey,3,I think he is the CEO and the company can do what they want.,5,I think this is a great way to get people on the right track and change the future,4,"If it can save lifes, I trust the doctors judgements on this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,27,2,5,
10/20/17 19:09,10/20/17 19:21,0,47.196.162.88,100,697,1,10/20/17 19:21,R_pmlUxqdcDxKx3QR,,,,,28.0821991,-82.52390289,anonymous,EN,3,"Honestly, I did not understand the question. What is even ""The accrediting body""? How a body can accredit anyone? Anyway, I guess 16 hours per shift is more than enough.",4,It is good to treat patients. I find it appropriate.,4,It is appropriate to reduce inequality.,4,It is nice that the CEO cares about his employees and diversifies the investment funds. I find it somewhat appropriate.,4,It is appropriate to give a bonus to teachers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,44,6,3,
10/20/17 19:16,10/20/17 19:21,0,70.129.177.240,100,319,1,10/20/17 19:21,R_2WIpETd3yzAG3T6,,,,,32.6322937,-96.91249847,anonymous,EN,,,,,,,,,,,,,,,,,,,,,1,It's important to help those in need. Feeding people is a good way.,4,It will help awareness. Then maybe he will get more sign ups,3,"It doesn't really matter. He's not hurting anyone, but it can be annoying.",1,It's too much money. They won't be motivated to really try and get a job.,1,It was appropriate because having a standard number used for every baby will help know if it works or not. Then they can adjust it for each baby if need.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,22,3,1,
10/20/17 19:11,10/20/17 19:21,0,23.112.84.225,100,612,1,10/20/17 19:21,R_2Vx0Em4QePGCBZY,,,,,38.626297,-121.3827972,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Well, this is not necessarily the right level for the babies. I think keeping the levels between 91 and 95 might not be right.",5,I think this is a great idea. It might really help people who either don't have a marketable skill or who aren't able to find a job with their skill.,4,"I think it's a step in the right direction so I marked somewhat appropriate. I think it doesn't really address what should happen after the 6 months or when people can't find a job even when they're really trying. Also, what should they do for the 12 months while they have no income?",5,I think this is a great idea because it might give people a chance to see what it's like before they reject it. I think it's a lot easier for people to just ignore it or try if for a month or so if they don't have to make the choice themselves.,2,"I think running a long add increases the liklihood that people will tune out and go do something else. A shorter ad, incentive or promotion would have a better chance of drawing people in.",2,"1,3",50,3,2,
10/20/17 19:13,10/20/17 19:22,0,66.58.218.15,100,536,1,10/20/17 19:22,R_ePRegizS0lk6jDz,,,,,61.15939331,-149.8865051,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"While there are risks with shorter hours, this sounds like a policy that would benefit doctors with being able to be more rested during their work.",4,"It isn't clear whether the drug has been approved by the FDA, so I would need to know that for certain before saying it's very appropriate.",5,This sounds like a fair and just way of assisting all of those in need.  ,4,"While it isn't the CEO's business what his workers do for savings and investments, it is good that he is looking out for them in the long run.",5,This could do well in bringing up test scores with students and improving the morale of the school district.,,,,,,,,,,,,,,,,,,,,,1,1,40,3,1,
10/20/17 19:17,10/20/17 19:22,0,108.28.30.108,100,291,1,10/20/17 19:22,R_ClWuaudZvXi1d4J,,,,,39.0007019,-76.97299957,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,I think that this is a very cool idea. I wish that it were real. But I think that it really would make a big difference if something like this were implemented. ,5,"It is a non-intrusive way of encouraging employees to invest more in their retirement. The CEO doesn't have an obligation to do something like this, but it is nice that she is. ",2,I think this decision will just encourage people to stop using his service. 30 seconds is a pretty long audio advertisement.,5,"It seems like a good way to help people who are out of work. I think people mostly want to work, but sometimes they get discouraged, and the job fairs would help them.",5,"He seems to be basing his decision on data. As long as he is not doing anything to hurt the babies, it doesn't seem inappropriate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,28,6,1,
10/20/17 19:18,10/20/17 19:22,0,173.218.64.86,100,233,1,10/20/17 19:22,R_1DNZevRzuMek1zl,,,,,37.02709961,-93.31929779,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,instead of charities taking money from him donating all the money he gives goes directly to them,4,it pushes people to save for when they're older ,2,if anything the frequent advertising with cause people to search for alternatives ,4,"some people will find jobs that fit their need in that time, some won't",5,the best chance to survive is to keep it between those levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,26,1,2,
10/20/17 19:16,10/20/17 19:22,0,208.191.157.43,100,357,1,10/20/17 19:22,R_OCKBVJMCnkymyJP,,,,,30.29660034,-97.76629639,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"I cannot say. If there is no consensus, and no predetermined answer to this question as to its ""rightness"", I can't form an opinion. ",2,"I think that this is basically an altruistic move, and shows long-term vision. I don't think that one month of training is enough for most areas, though. This would not give most the appropriate training they need for new jobs. ",4,"I think that this shows concern for people while they are unemployed, giving them the chance to reboot their lives. And also to make up for the money they lost while unemployed. ",5,"I think that this is a wise idea for high earners. However, some people make so little that they need their savings now, rather than later. I think that it should be an option, not a mandate. The CEO gives his employees a choice.",2,"Stupid idea. No one is going to take a 2-minute break while they listen to songs. A movie or show, perhaps, but not an album of music. ",2,3,52,5,3,
10/20/17 19:10,10/20/17 19:22,0,73.146.229.102,100,747,1,10/20/17 19:22,R_1PSPx8oPgXygyt1,,,,,39.59249878,-86.11109924,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Patient care is extremely important so having to work these long hours is understandable from that perspective but non-resident doctors do not follow these same rules and good care is given so altering the resident schedule is somewhat appropriate.  There is also an important factor of sleep; is residents are over-worked and not allowed enough time to rest, they are likely to forget things and give poor care.",4,"Dr. Jones seems to have his patients best interest in mind as concerning price and side effects, but, I would be wary of new medication.  I would prefer to see if there are any other fair-priced medications with tolerable side effects that have been in use and studied longer.",3,"Without more information this is difficult to decide.  It seems the right choice to increase help to everyone, equally, but of course, others may be worse off and need extra services.",2,"I myself feel overwhelmed when I have too many choices about things I am not educated on, but, it would be better for the employer to have educational seminars about all the choices available so that the employees can decided for themselves.",4,"Having extra vacation days would be wonderful for the teachers, but, I have two concerns: 1) this might have a negative effect on the children and 2) this doesn't help teachers' daily lives better.",,,,,,,,,,,,,,,,,,,,,2,3,38,4,3,
10/20/17 19:13,10/20/17 19:22,0,152.28.198.5,100,568,1,10/20/17 19:22,R_2Ei330FTovYzHjs,,,,,35.74339294,-78.53610229,anonymous,EN,3,"Once again, both sides of the story. Residents need their sleep, but they may also have other needs that require money.",5,"If it has been approved as safe and it's affordable for the patient, I don't see why it wouldn't be beneficial.",4,Jobs and services being offered to the poor residents. I hardly see any problem with that.,4,"I see many positives in this scenario. The CEO is giving out more options for his employees, which can only have a positive outcome. Especially when they start signing up for them, as it will help them greatly in the long run.",3,"I try to look at it from both sides of the case. On one hand, the teachers need, and in many cases deserve a good motivation like money. On the other hand, however, teachers should have a natural motivation to better their students. Money shouldn't be that motivation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,28,3,3,
10/20/17 19:12,10/20/17 19:22,0,67.246.188.75,100,610,1,10/20/17 19:22,R_3qJ7VBu20H21i59,,,,,43.01089478,-78.95739746,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,The patients will receive the care that they are entitled to.,5,"Many individuals have trouble paying for their prescriptions. What's better than having medication that works for you, and has no side effects? Medication that is affordable!",3,"I think when an individual truly needs the help, government assistance can practically be a life saver. Unfortunately though, there are some individuals that cheat the system, and are not worthy of the assistance that they are receiving. ",4,"I think it's a good idea if you are an employee that can afford to save for retirement. Unfortunately, someone like me who lives paycheck to paycheck doesn't have a dime to spare for retirement. So it wouldn't matter what types of retirement plans are offered, I wouldn't be able to afford it.",5,"Teachers work very hard and deserve breaks. I think a few extra days of vacation can help clear their heads, and then they will be much more happy. In return, their students will be very well educated.",,,,,,,,,,,,,,,,,,,,,2,3,35,3,3,
10/20/17 19:17,10/20/17 19:22,0,76.181.9.80,100,346,1,10/20/17 19:22,R_1OH8VzgdV33MLpz,,,,,39.95530701,-82.07180023,anonymous,EN,1,To reduce errors.  It protects patients.,1,"Approved by FDA, safe affordable",1,Makes sense to help the poorest families.  Will reduce poverty.,1,Attractive options helps.  People may enroll more.  Help people save.,1,Happy teachers means happy students.  Well paid means happy workers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,40,5,2,
10/20/17 19:16,10/20/17 19:22,0,73.7.95.169,100,395,1,10/20/17 19:22,R_ah1YzMSCDj1y7sd,,,,,33.29060364,-84.26589966,anonymous,EN,4,"It is appropriate because it will likely give better protection to patients. However, there could be cases where such a policy is not needed depending on the individuals involved.",5,Doctor Jones is using a safe product to treat his patients. His actions are entirely appropriate.,3,"It will be helpful to those poorest families. However, it does not create incentive to find employment.",2,The CEO is interfering with people's current financial options. Some may not appreciate this.,5,This will lead to teachers being more motivated and happier. There is no downside.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30,3,2,
10/20/17 19:15,10/20/17 19:23,0,24.192.131.65,100,428,1,10/20/17 19:23,R_3h09BUdHIJkLXgC,,,,,42.5144043,-83.01589966,anonymous,EN,,,,,,,,,,,,,,,,,,,,,4,This is a great way to help adults in poverty.  My only concern is that the stipend does not provide assistance for long enough,5,Most people don't sign up for a retirement fund because it seems to be complicated or overwhelming.  This would make it easier for those individuals but allow people who are more interested in choosing their own investment strategy the opportunity to do so,4,"I think that this is a pretty ordinary idea; I think that it may be able to generate some new customers through this strategy, but I think that I would get annoyed with the frequency of the ads",5,I think this a pretty fair way to support citizens while they look for a job.  I also think that it's a good way to allow people to make it so that people do not become too comfortable receiving a monthly stipend for free,2,There needs to be more research done. The manager appears to have made a decision that is not based on evidence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,33,6,6,
10/20/17 19:17,10/20/17 19:23,0,162.206.204.111,100,365,1,10/20/17 19:23,R_3oSJjuZ1xVY335o,,,,,33.69650269,-85.68199921,anonymous,EN,4,It would mean that residents function better. It would be a problem in some cases if all staff is needed at the same time.,5,It was a wise choice. He is looking out for their health and financial well being.,1,"If one group gets an increase, then all should get an increase. It would be disproportionate to give to one group and not another.",5,It is good to encourage saving. Having more choices will mean more people will participate.,5,It will make teachers feel more valued. That will make them more likely to do their job well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,53,3,5,
10/20/17 19:17,10/20/17 19:23,0,73.19.134.136,100,364,1,10/20/17 19:23,R_3QYTjeZkVj3xIUN,,,,,31.15029907,-85.41139984,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I don't see anything wrong with trying to recruit people for their work. They providing jobs to people,5,He cares about the people thus its only a notice to individuals who are older. So I don't see any harm in sending out a notice.,5,He seems like a great guy and willing to put the money where his mouth is. One could say that action speaks louder than words and he proved himself.,1,I think it's inappropriate to remove some free songs to entice others to do things they don't want to do. If people want to pay then let them decide.,3,Both medicine does the same thing so I'm not sure if it's appropriate or not. ,,,,,,,,,,,1,4,34,3,3,
10/20/17 19:12,10/20/17 19:23,0,76.6.80.83,100,684,1,10/20/17 19:23,R_3E9KCRptPGZ1Zda,,,,,32.12229919,-95.92269897,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Its better they stay longer with their patients. Its more professional and they'd know what was going on more than in shorter shifts. The confidentiality part of it would be more protected this way.,5,Drug B is affordable and has tolerable side effects. The doctor wants to provide the best for his patients. ,2,I disagree. Not everyone should receive the same benefits. I think he's allowing some to become lazy depending on the system therefor the cycle continues. ,1,Hes trying to encourage them to invest in their future. He took away half the investment funds as to not overwhelm them which in the long run was a was of looking out for employees and being helpful,4,"I think its nice to give teachers a break, they definitely deserve it. They really need more pay though. I say somewhat appropriate because if the teacher is out who's with the children? The actual home room teacher is definitely better than the sub.",,,,,,,,,,,,,,,,,,,,,2,3,34,2,5,
10/20/17 19:13,10/20/17 19:23,0,104.136.13.119,100,604,1,10/20/17 19:23,R_1CIKhaPcMojFZw6,,,,,29.20210266,-80.99980164,anonymous,EN,,,,,,,,,,,,,,,,,,,,,4,"If the recipients use the cash for the intended purpose then there is no problem. But if they use the cash for other things that they may not really need and then complain about not being able to feed themselves or their family, then there is a problem. There is some room for abuse of the system but I also believe that the majority of recipients will use the cash as intended.",5,It's always a good idea to promote employer savings plans and to educate new hires to what's available and the benefits and risks or each available plan. This gives the employee an incentive to participate while giving them a choice of which plan(s) to contribute to or even to decline participation at all.,4,"In my real life I opt for the free version of apps such as Pandora. I really can't afford any extra expenditures at this time and the frequent ads are well worth it to me to get the service for free. Some users, however, might find the ads annoying and decided  to subscribe to the premium service in order to get rid of the ads.",5,"There are times when people need help making ends meet and getting back on their feet following a life changing event such as losing a job or the death of a working spouse. Programs such as this give these people a safety net while requiring them to find a job and/or get the training to prepare them for the workforce. It was not mentioned whether extenuating circumstances could extend the program for some, but overall it sounds like participants should be able to accomplish what the program is intended for. To give them temporary help until they can once again be self-supporting.",5,This sounds like an ideal plan to ensure that the babies' oxygen levels don't fall below or rise above the correct levels. I am certain if an isolated case needed more or less than that the doctor would monitor the babies and  handle those situations accordingly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,62,3,1,
