pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode,MarkedForExclusion
85,xbps,bp_short,5,0,I think it is very appropriate because it ensures that the doctors will always know the best procedures to reduce the risk of infections. The patients would also be assured that the doctors are doing everything the right way.,250,R_27WfwbQkspynPww,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,n/a,7,0,4,3,5,1,1,1,3,1,27,0,2,0,4,1,8,7,0,0
86,poster,poster,4,0,I think that it is harmless and could potentially help,88,R_28OMJtDDcw35CBo,1,0,2,0,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,na,4,0,1,3,3,3,1,1,3,1,36,1,3,0,2,0,7,4,0,0
87,badge,badge,5,0,It takes patient safety to the next level. It helps improve chances the doctors will not make a mistake during the procedures.,213,R_2968mivKDkJu5UM,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,1,Engineering (Mechanical Engineering),8,1,5,2,4,2,1,1,4,0,25,0,5,1,6,1,9,8,0,0
88,poster,poster,3,0,"On one hand it could be reassuring to the patients who are having this procedure performed on them. however, one would also think that doctors were trained sufficiently and professional enough that such a basic reminder would not be necessary to post but is an automatic part of their job.",314,R_29bjQDFkvqEw28S,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,3,1,68,1,6,1,3,0,3,8,0,0
89,xbps,bp_short,2,1,"if he feels one way is safer, then he should have everyone do it the same way.",136,R_29fRqmN1Q0457d2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,4,4,2,2,0,3,1,54,1,4,1,6,1,10,9,0,0
90,xbps,bp_short,4,0,"I consider it appropriate because its not a experiment that is withholding medication or altering the way medicine is being administered to the patients that need it. It is simply a way to help doctors remember all the steps in a procedure, just like a reminder.",524,R_29nU0S4ZRlIMx9Z,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,1,Biology,8,1,1,1,5,1,1,1,4,0,22,0,4,1,3,0,3,8,0,0
91,xbpl,bp_long,2,1,I think it is a good way to test the two ideas. I think one year is enough time to see which method works. However the methods are not equal . One method requires no effort from the doctor (poster) the other method requires the doctor to remember to wear the badge and remember to look at the badge before treating a patient .,482,R_29s1rX10nDdcuh6,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,3,4,2,2,0,1,0,38,1,6,1,6,1,10,9,0,0
92,xbpl,bp_long,4,0,It is good to see which one will work better. Personally I feel a badge that is apart of someone would be easier for a person to look at. A poster is easily ignored.,201,R_29tTZDKg0FmhAsT,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,3,4,4,2,1,1,3,1,27,0,4,1,2,0,9,8,0,0
93,poster,poster,5,0,"Humans are by nature forgetful, or neglectful at times. Regular reminders such as the proposed poster could help reduce surgical errors.",189,R_2a9A0flLKEv8wVE,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,1,1,5,1,1,1,3,1,49,1,6,1,3,0,3,8,0,0
94,xbpl,bp_long,4,0,It is very appropriate to increase patient safety. ,370,R_2aFbQvbz6iIdj0t,2,1,1,1,2,0,2,1,2,1,1,1,1,1,1,1,2,1,2,,8,0,3,3,2,4,1,1,3,1,39,1,4,1,5,1,10,8,0,0
95,xbpl,bp_long,5,0,"Based on the experiments, the results is what matters and the director need time to make a decision that's why it's appropriate.",565,R_2AGbfO8cyq1JdFZ,1,0,1,1,2,0,2,1,1,0,1,1,1,1,2,0,1,0,2,,4,0,5,5,4,2,1,1,3,1,46,1,6,1,3,0,12,4,0,0
96,badge,badge,3,0,"The director's decision is not likely to harm anything but it's also improbable to be helpful either. The act of touching the ID card during insertion of the tube, to consult the safety steps, is just inviting more germs into the scenario.",160,R_2AGQScFVgbryiqk,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,2,0,3,1,33,0,4,1,4,1,3,9,0,0
97,badge,badge,4,0,"The badge is likely the property of the hospital. If the director thinks putting this on the badge will help the doctors, it is his decision.",289,R_2ah0kvzj4ZKzpHI,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,2,1,2,,7,0,2,1,5,1,1,1,3,1,38,1,4,1,6,1,4,7,0,0
98,badge,badge,4,0,I think when implementing something new it would be helpful to have something visual to reference easily.,149,R_2aLWFMArTX5Zq9L,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,4,3,4,2,2,0,3,1,30,0,6,1,4,1,9,8,0,0
99,xbps,bp_short,5,0,taking extra precautions and extra directions would be very helpful to eliminate mistakes ,209,R_2ANIo2sAJJDBPKB,2,1,1,1,1,1,1,0,2,1,1,1,1,1,2,0,1,0,2,,6,0,3,2,5,1,1,1,2,0,40,1,3,0,2,0,6,6,0,0
100,xbps,bp_short,3,0,I think it could go both ways here,67,R_2aOAl47HmLlhTWc,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,8,0,3,4,3,3,1,1,3,1,27,0,3,0,3,0,10,8,0,0
101,xbpl,bp_long,3,0,It seems that this would be a fairly standard practice; such as a placebo effect that is also used when testing new medications,104,R_2aQSsUitWKaTGLl,2,1,1,1,1,1,1,0,1,0,2,0,1,1,1,1,2,1,2,,6,0,3,4,2,4,2,0,3,1,34,1,3,0,1,0,11,6,0,0
102,poster,poster,5,0,I think it is a good idea. It will help doctors cut down on infections.,201,R_2aV3xrNgkmprerp,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,4,2,2,0,1,0,22,0,3,0,2,0,4,8,0,0
103,xbpl,bp_long,3,0,"I think that the doctors performing this procedure should not have to rely on a badge or poster at all. They should receive training that is so intense that the steps are ingrained in them. The steps should come as second nature to any doctor that is consider ""fit"" to perform this surgery.",244,R_2aY8AWtkVuJli3p,2,1,1,1,1,1,1,0,2,1,2,0,1,1,1,1,2,1,2,,7,0,3,3,5,1,2,0,3,1,31,0,4,1,4,1,7,7,0,0
104,badge,badge,4,0,It seems like a good idea for them to have the instructions right there with them. But is it really practical to have them reading directions while performing a procedure.  ,195,R_2BrL9qRFp5UtvyO,2,1,1,1,2,0,2,1,1,0,1,1,1,1,1,1,2,1,2,,7,0,2,2,4,2,2,0,3,1,39,1,4,1,4,1,6,7,0,0
105,poster,poster,5,0,It is important for doctor's to take all necessary precautions for the safety of their patients.  Having the sign will give them no excuse to not be safe.,183,R_2BtImMO5LGIlRW5,2,1,1,1,2,0,2,1,1,0,1,1,1,1,1,1,2,1,2,,7,0,5,4,4,2,2,0,3,1,35,1,4,1,5,1,11,7,0,0
106,xbpl,bp_long,4,0,I mean there's no way to find out if this really works if we don't try. I think it is appropriate. ,152,R_2Cfz9bvFfK8Yz4e,2,1,1,1,1,1,1,0,1,0,1,1,1,1,2,0,1,0,2,,5,0,3,1,4,2,1,1,"2,3",0,37,1,4,1,3,0,6,5,0,0
107,xbpl,bp_long,5,0,"Everyone needs to be reminded of safety precautions, even doctors. These would be good practices.",1208,R_2cqqvsNiCLvkMK8,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,8,0,5,5,3,3,2,0,3,1,36,1,4,1,2,0,13,8,0,0
108,poster,poster,1,1,"Doctors know how to perform the procedure.  As a patient, I would feel more uneasy if my doctor had to look at steps on a poster to perform a procedure on me.",144,R_2ctNaJSO3gSzy7f,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,5,5,4,2,2,0,3,1,30,0,6,1,4,1,12,8,0,0
109,xbpl,bp_long,4,0,"I do not see how a badge or poster would help prevent infections, unless it is doctor negligence causing these infections. ",263,R_2cuNmYdDuYQk2Sj,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,4,4,2,1,1,3,1,42,1,3,0,4,1,11,9,0,0
110,badge,badge,5,0,It is a good idea that wouldn't cost a pot of money to implement ,162,R_2CuY8xpDfqaFHqV,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Computer science ,9,1,1,1,5,1,1,1,3,1,24,0,3,0,2,0,3,9,0,0
111,badge,badge,4,0,"I like the thought of it. But this might allow some doctors to rely on the badges with instructions, rather than knowing the skill. ",345,R_2Cxj9x321PApLKn,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,2,4,4,2,2,0,1,0,37,1,4,1,4,1,8,8,0,0
112,xbps,bp_short,5,0,Doctors are only human and many times put in a lot of hours and a direct reminder like the posters is a fantastic idea. It can only help the situation.,427,R_2D7Z0G3wjk7NVQe,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,4,2,2,0,3,1,53,1,4,1,4,1,7,9,0,0
113,poster,poster,3,0,"I feel like this is just something that wont help. Putting the posters up wont do much if the doctor legitimately doesn't know what he's doing, in the first place. ",216,R_2dH1alvU49pR2LK,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,1,1,5,1,2,0,3,1,59,1,6,1,4,1,3,8,0,0
114,xbpl,bp_long,4,0,I guess it is a good way to find out what works for the future.,151,R_2dHpVGAtK4MLu5l,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,,7,0,2,2,5,1,2,0,3,1,24,0,3,0,2,0,5,7,0,0
115,xbps,bp_short,4,0,"This is a good idea, but there should also be other procedures in place to make sure the doctors are following protocol.",271,R_2DLAxdTl7BIRXx0,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,5,5,4,2,2,0,3,1,35,1,2,0,2,0,12,8,0,0
116,xbps,bp_short,2,1,Seems like not everyone is getting the same,127,R_2dmgEI5fV0PZE9m,2,1,1,1,1,1,2,1,2,1,1,1,2,0,2,0,1,0,2,,6,0,2,4,2,4,1,1,3,1,32,0,3,0,2,0,10,6,0,0
117,poster,poster,4,0,"A poster has the possibility of being a distraction in the middle of a procedure, yet if appropriately studied beforehand, it should be pretty effective. It's just a lot better than no action taken at all.",331,R_2DNDhXtZtK7M3Na,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,2,2,5,1,2,0,1,0,32,0,3,0,1,0,5,7,0,0
118,badge,badge,5,0,"Sometimes in high pressure, high-stress situations a written reminder can help ease your mind and trigger memory.",181,R_2dYcut0yIXVnZlw,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,3,4,2,2,0,3,1,36,1,2,0,3,0,8,9,0,0
119,poster,poster,3,0,I think the doctors know more about ths stuff than a director.  Godd intentions but meddlesome.,249,R_2DZA1fhVRNlxJP7,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Electrical Engineering,9,1,1,3,4,2,1,1,2,0,51,1,6,1,5,1,6,9,0,0
120,xbps,bp_short,2,1,"The experiment really should not be run on current patients without their consent.  But since he is the director he can most like do what he wants, unless there is something in the by laws which says he cannot do this.  If I was a patient, and I was randomly selected to be put in an experiment without my knowledge, I wouldn't be so happy.",276,R_2EEnKok2kyr2HZy,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,1,Mathematics,8,1,2,1,5,1,1,1,3,1,27,0,6,1,2,0,4,8,0,0
121,xbpl,bp_long,2,1,"If the procedure is not safe enough or memorable enough to complete by the doctor, then I do not think they should perform it at all.",217,R_2EFPRbgzcu8fa6l,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,0,2,,7,0,2,2,5,1,2,0,3,1,21,0,3,0,3,0,5,7,0,0
122,poster,poster,5,0,Because its a good thing to have a reminder of safety precautions. When it comes to safety there is always enough room for little reminders. ,193,R_2Es0wKZBNksFAYs,2,1,1,1,1,1,1,0,1,0,2,0,1,1,1,1,1,0,2,,5,0,4,3,4,2,2,0,3,1,26,0,3,0,2,0,9,5,0,0
123,badge,badge,5,0,If you are following a checklist procedure is will reduce mistakes that could be made.,136,R_2EucFGrWFoB6Mvx,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,3,1,31,0,4,1,2,0,3,8,0,0
124,xbpl,bp_long,5,0,The procedure can be dangerous so the idea is to have the most effective mode of communication for both patients and doctors. After  year the one that is best will be used all the time. ,211,R_2EuRp9JyIk7ype2,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,2,1,1,Environmental science,7,1,1,2,5,1,2,0,3,1,56,1,4,1,1,0,4,7,0,0
125,xbpl,bp_long,5,0,It's an everyday reminder on what to do. The doctor is more then likely to see the reminder. Sometimes things can be forgotten and I can see where this could help. At least it couldn't hurt.,554,R_2ExYGrZYPYzQ43o,2,1,1,1,2,0,2,1,2,1,2,0,1,1,1,1,2,1,2,,7,0,5,4,1,5,2,0,3,1,52,1,2,0,2,0,14,7,0,0
126,xbps,bp_short,2,1,I don't think its right that he's running an experiment to see which practice works better.  All safety precautions they can think of should be implemented in hopes of saving the most patients.  Both the posters and the badges should be in each room and given to each doctor. ,188,R_2fcX6oqZrBLkRDG,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,1,1,5,1,2,0,3,1,28,0,4,1,3,0,3,8,0,0
127,poster,poster,5,0,"It's like having the sign for ""handwashing 30 seconds for employees"" in a bathroom or food instructions at a burger king. It doesn't hurt if they know it and helps make sure they got everything.",274,R_2fdp6umWwLOlcHt,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Computer Science and Computer Information Systems,9,1,1,2,5,1,1,1,3,1,31,0,4,1,1,0,4,9,0,0
128,poster,poster,4,0,"I think that it's appropriate because then a doctor can see it while he's performing the procedure. Additionally, I think it's appropriate because then other people can see it and know the risks as well. So it really helps both parties, although I think some people might get nervous to see it. ",254,R_2fEeVgNlscJDNIX,2,1,1,1,1,1,2,1,1,0,2,0,1,1,2,0,2,1,2,n/a,6,0,4,2,5,1,2,0,3,1,25,0,4,1,3,0,7,6,1,0
129,badge,badge,5,0,"I think if it will help them remember and save lives it's a very good idea. They shouldn't have to be reminded of the safety procedures, but it would probably help some remember when in a rush.",328,R_2hPsNj6cnUjNACB,2,1,1,1,1,1,1,0,2,1,2,0,1,1,2,0,1,0,2,,5,0,2,1,5,1,1,1,3,1,40,1,3,0,1,0,4,5,0,0
130,xbps,bp_short,4,0,"I think seeing these precautions on the wall might help patients feel at ease knowing that their provider is concerned with safety. On the other hand, a doctor might not look at either depending on the complexity of the surgery. ",296,R_2nvmF4wyd8zJO6d,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,3,2,4,1,1,1,0,36,1,3,0,5,1,11,9,0,0
131,xbps,bp_short,3,0,"You know, like, they gonna do what ever",141,R_2ONGqI7KXqRgQUb,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,41,1,2,0,1,0,3,9,0,0
132,xbpl,bp_long,4,0,The decision shouldn't have much impact on the patients health which is the most important fact. Regardless it should help to reduce the infections.,271,R_2OPS9hxa2btpK0k,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,1,1,5,1,2,0,2,0,28,0,3,0,3,0,3,7,0,0
133,poster,poster,5,0,Even doctors are human and they can make mistakes.  It would be good to have the steps visible in case doctors need to look at them.  You can't be too cautious especially at a hospital.,196,R_2OZQuHteMah7UVG,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,3,2,4,2,1,1,3,1,43,1,4,1,2,0,7,7,0,0
134,badge,badge,1,1,The director is not a dr and should not dictate care decisions,218,R_2P1CasyNUTsNoXE,2,1,2,0,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,6,0,5,4,5,1,1,1,2,0,50,1,4,1,6,1,10,6,0,0
135,xbps,bp_short,4,0,It seems a bit controversial but he is the director so i would agree with his choice. ,156,R_2P20TsKEw6PLPLW,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,,6,0,3,1,5,1,1,1,3,1,25,0,4,1,2,0,5,6,0,0
136,badge,badge,1,1,A dr shouldnt need constant reminder of a patients health and need directions to preform a proper procedure,277,R_2Pe9pz5JgJxFXgC,2,1,1,1,1,1,1,0,1,0,2,0,2,0,1,1,1,0,2,,4,0,5,5,4,2,1,1,3,1,34,1,6,1,4,1,12,4,0,0
137,badge,badge,4,0,Although it sounds like the director has good intentions it would likely go completely unused. I doubt a doctor is going to stop and read a list of instructions before doing a procedure they have probably done thousands of times before.,222,R_2QJNDVxNc3mzhKc,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,2,5,1,2,0,2,0,41,1,4,1,2,0,4,9,0,0
138,xbpl,bp_long,5,0,Either way it is safer than the previous way in which nothing was posted. This finds the best way,123,R_2QlIK4NSsOBk9wZ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,34,1,3,0,6,1,3,9,0,0
139,poster,poster,2,1,I think it might make the patient nervous,212,R_2RanUENigyZJiFz,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,7,0,3,4,4,2,2,0,3,1,50,1,2,0,6,1,9,7,0,0
140,xbps,bp_short,5,0,"This intervention seems very appropriate, as it acts to remind the doctor without causing any other friction.  This study is OK as long as there is enough data to show the effectiveness of the procedure without the posters, otherwise there should also be a control group without the posters/badge instructions.",211,R_2RZUXw4v0gL2bjp,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Bioengineering,9,1,1,1,5,1,1,1,3,1,32,0,5,1,2,0,3,9,0,0
141,xbps,bp_short,4,0,I think it is appropriate because people will think more of the director,872,R_2s0lko2VCrb6bsi,1,0,2,0,1,1,2,1,1,0,2,0,2,0,1,1,1,0,2,,3,0,4,2,4,2,2,0,1,0,27,0,3,0,2,0,8,3,0,0
142,xbps,bp_short,1,1,The doctor should not experiment like this without running through a simulation that does not  include actual patient groups.  There must be informed consent.,456,R_2Sq6hzhekPcBGqY,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,3,2,5,1,1,1,3,1,28,0,4,1,4,1,6,7,0,0
143,badge,badge,5,0,Having notes readily available ensures fewer mistakes. Makes it easier for the doctors to memorize the steps.,253,R_2sZ43kXxp6Pie4A,2,1,1,1,1,1,1,0,2,1,2,0,1,1,1,1,1,0,2,,6,0,1,1,4,2,2,0,3,1,30,0,2,0,2,0,4,6,0,0
144,poster,poster,4,0,Some doctors need reminders on safety procedures but they are too arrogant to receive direct instruction. This way they can read the poster and still pretend it doesn't apply to them.,185,R_2tE8g6RBVxeg00u,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,astronomy,9,1,1,1,5,1,1,1,3,1,42,1,4,1,6,1,3,9,0,0
145,badge,badge,5,0,It seems to be very important because it adds the info to their clothing so they can have the steps with them if needed.,191,R_2ToV6Pux66mqoZM,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,31,0,3,0,1,0,3,9,0,0
146,badge,badge,5,0,"Doctors are human and therefore make mistakes. These are not usually intentional, but any human error can be detrimental to the desired outcome. Therefore, having a checklist to constantly refer to is helpful and can help eliminate errors. ",129,R_2TsBFeiienwWISe,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,1,4,2,2,0,3,1,42,1,4,1,2,0,5,9,0,0
147,xbps,bp_short,4,0,"If the director truly doesn't know which one will reduce infections, then I think it's reasonable to try both.  This is a life-saving treatment that still needs to be administered so at least the director is trying to reduce the number of infections.",289,R_2TXmTe4lv2gDAcw,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,computer engineering,9,1,1,1,4,2,2,0,4,0,38,1,4,1,1,0,4,9,0,0
148,badge,badge,4,0,"People should be able to identify the doctors.  Also, it is important for the doctor to remember the steps.  But, if he already knows the steps by heart it might now be necessary.",166,R_2UbgWYd6USUt8DM,1,0,1,1,2,0,1,0,2,1,2,0,2,0,1,1,1,0,2,,3,0,3,2,3,3,2,0,3,1,26,0,4,1,3,0,8,3,0,0
149,xbpl,bp_long,4,0,"It's good to test these ideas out, but a year seems like a really long time with patients still being infected during this time.",356,R_2uBS9JQhVXR3BnC,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,1,1,4,2,2,0,3,1,38,1,3,0,3,0,4,7,0,0
150,badge,badge,5,0,I think it was a very appropriate decision because doctors can remember all the safety steps to take.That way there is less infections so less people get sick or die.,527,R_2UfqIHqu76PQSGD,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,5,4,4,2,2,0,3,1,39,1,3,0,1,0,11,8,0,0
151,poster,poster,4,0,I don't see why it would be inappropriate. He is giving a reminder to all. ,79,R_2urKdmM9tHgchte,1,0,2,0,2,0,2,1,2,1,2,0,1,1,2,0,1,0,2,,3,0,2,4,4,2,1,1,4,0,27,0,3,0,3,0,8,3,0,0
152,xbpl,bp_long,4,0,I think both methods can help prevent infection and this is a good meausre to see if steps are implemented,243,R_2uWjcnFWkHTVxmL,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,2,1,2,,7,0,2,3,4,2,2,0,3,1,52,1,4,1,3,0,7,7,0,0
153,badge,badge,4,0,"although it is somewhat demeaning to an MD, it can be useful. It may save a life.",213,R_2UXEjn4Zt0naOZ2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,5,1,1,1,3,1,64,1,4,1,4,1,6,9,0,0
154,poster,poster,5,0,"This kind of thing is the directors job.  Who would be against saving lives? In fact, It would not be inappropriate for anyone with access to do this.",314,R_2VD37k1bXWEqC5b,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,5,5,5,1,2,0,3,1,38,1,3,0,3,0,11,8,0,0
155,xbps,bp_short,4,0,"Rather than run an experiment where patients could potentially suffer, it seems more prudent to have the doctors take a required retraining course. Having posters and badges up to help remind doctors what to do is important, but it seems like it would be better to train them. ",302,R_2vZELDTcC36uXVT,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,4,2,2,0,3,1,26,0,3,0,3,0,4,9,0,0
156,xbpl,bp_long,4,0,I think the posters will be a good helpful reminder.,204,R_2wADqkcrJ2XzOR5,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,5,3,5,1,2,0,3,1,38,1,3,0,2,0,9,8,0,0
157,poster,poster,2,1,These doctors should be trained well enough to not have to refer to a poster during a procedure.  The fact that they have to look at a poster is disturbing.,162,R_2wLGhMxGevaAxXM,2,1,1,1,1,1,1,0,2,1,2,0,1,1,1,1,2,1,2,,7,0,1,1,5,1,1,1,3,1,33,0,6,1,4,1,3,7,0,0
158,xbps,bp_short,4,0,The safety procedures could help but it seems kind of bad to just stick people in rooms and test on them. What if these procedures don't help an the test subjects still get these deadly infections.,219,R_2WOHPEA8zTipxdi,2,1,2,0,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,6,0,4,3,4,2,2,0,3,1,25,0,3,0,3,0,9,6,0,0
159,poster,poster,4,0,"I think that it definitely wouldn't hurt to have the posters around and they might serve as a helpful reference. However, in practice I think that most doctors are unlikely to pay attention to the posters when they are busy with their day to day work.",218,R_2Wu86sQYWu6SkzK,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,2,5,1,2,0,2,0,23,0,4,1,3,0,4,9,0,0
160,poster,poster,5,0,I felt like the director's decision was very appropriate. He just wants to make sure all of the doctors follow directions and that is probably the best way to do it.,422,R_2wvQyQR3ZEP12ec,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,4,2,4,2,2,0,1,0,26,0,3,0,2,0,8,7,0,0
161,poster,poster,3,0,The director thinks that these posters might help doctors remember all of the safety steps they were trained to take during the procedure.,92,R_2xDaHkSqh39WPlo,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,3,5,1,1,1,3,1,26,0,3,0,3,0,9,9,0,0
162,xbps,bp_short,4,0,He doesn't know for sure if the poster and badges will help and he must figure out how to stop deadly infections.,318,R_2xEss3eKrnSpFVH,1,0,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,,5,0,2,2,5,1,1,1,3,1,28,0,2,0,5,1,5,5,0,0
163,xbpl,bp_long,3,0,His decision is appropriate because he is qualified to know what he's doing. ,155,R_2xLxorNSIFJFSuT,2,1,1,1,1,1,1,0,2,1,1,1,2,0,1,1,1,0,2,,6,0,4,2,2,4,2,0,3,1,30,0,2,0,4,1,10,6,0,0
164,poster,poster,2,1,Yes it is good that they are showing doctors better ways to perform surgeries. They should not be showing them this information while undergoing a operation. They should instead talk to all the doctors who perform this operation before hand in a training session. ,206,R_2XmThXWQfytwwte,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,4,4,3,3,1,1,3,1,19,0,2,0,4,1,11,8,0,0
165,xbps,bp_short,4,0,It will save the patients live.  It will also help people when they are sick in the future.,103,R_2XpJlvNi0I5zo99,1,0,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,6,0,4,5,5,1,1,1,3,1,43,1,4,1,3,0,10,6,0,0
166,xbps,bp_short,2,1,i think that the director should make it the same either way. you shouldn't make certain patients guinnea pigs.,1205,R_2XpSAL4IS5w8pjc,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,,6,0,4,4,5,1,2,0,3,1,47,1,4,1,6,1,9,6,0,0
167,badge,badge,5,0,How could it hurt? It's a good reminder of proper procedure and could save lives. It sounds like a great idea ,147,R_2xXfBbCD4pKYGNv,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,43,1,5,1,4,1,3,9,0,0
168,poster,poster,4,0,Its just guidelines and some doctors might or not see it when performing the procedure. It would be better to do a training program so all doctors are aware.,204,R_2Y4kVHJHtva9oLr,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,1,0,1,Mechanical Engineering,6,1,1,2,5,1,1,1,2,0,26,0,4,1,3,0,4,6,0,0
169,xbps,bp_short,4,0,"Because the risk of infection is so high, and so high in general at hospitals. It's good for doctors to have the precautions readily available to them so that they can take the proper measures. Neither of these two methods are unethical, and may end up helping patients for the better.",131,R_2z6YsbJkcW6yvyI,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,2,,7,0,1,1,4,2,2,0,4,0,32,0,6,1,4,1,4,7,0,0
170,xbpl,bp_long,5,0,I believe that the hospital director made a wise choice to run this test. Determining which is the better course could very well save patients lives in the future.,215,R_2ZEJKj359KaHlD7,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,5,5,3,3,1,1,3,1,44,1,3,0,6,1,13,8,0,0
