pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode,,,,,,,,,,,,
570,xB7,Income.Unemployed,2,1,I don't think it is fair to reward people for not working.,102,R_XTzrxgX2E4wU2Dn,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,1,0,2,,6,0,1,1,4,2,2,0,3,1,26,0,4,1,3,0,4,6,0,,,,,,,,,,,,
571,xB1,Drug.B,5,0,The drug was approved by the FDA and there's nothing out to suggest there's any severe side effects.  Plus it is affordable so even those of lower income can get it.,200,R_1l4V2Nlu31aqakp,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,5,1,1,1,3,1,32,0,3,0,3,0,3,8,0,,,,,,,,,,,,
572,xB5,Charity.Train,4,0,This seems to be appropriate because a worker will receive training in a field of their choice that could possibly increase yearly income.,262,R_2YkLC1giyTsgiGc,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,7,0,3,3,4,2,1,1,5,0,28,0,3,0,1,0,8,7,0,,,,,,,,,,,,
573,xAB4,Teacher.BoBr,2,1,Teacher's talk to each other. A survey would would much better. This would cause arguments.,209,R_2yeK6ezs9ETE2En,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,1,2,5,1,2,0,3,1,27,0,5,1,2,0,4,8,0,,,,,,,,,,,,
574,xAB6,Recruit.SC,5,0,"It makes sense that they would use whichever poster worked better and drew in the kinds of people that they need. The assignment of posters to different districts was random, so they weren't trying to manipulate certain people with certain posters.",369,R_1zUnK351BFxbz1L,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,2,4,2,2,0,3,1,25,0,3,0,4,1,5,9,0,,,,,,,,,,,,
575,xAB3,Funds.MH,5,0,By experiment he is testing two alternative methods of encouraging more employee to enroll int the retirement plan. I don;t know the companies finances but obviously a plan where the company matched contributions would work better than either of his alternatives but that is his prerogative to make this decision,445,R_1fjfXI03oXk61Cp,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,MS in Industrial and Systems Engineering,9,1,4,2,1,5,1,1,"3,5",0,66,1,6,1,6,1,11,9,0,,,,,,,,,,,,
576,xA7,Income.All,5,0,"It's very appropriate because the government is providing a safety net for those who need while, at the same time, providing the necessary help. They have a social support program to help those in need, which is good. But they also are providing additional services to cater to those people and help them find employment. Also, the government is being smart with their money. They're not just giving away money for nothing. They expect those in the program to meet certain requirements (attending the job fairs). There's also a time limit, which is good too. If people got $1000 per month for the rest of their life rather than just for 6 months, then people would be less motivated to find work.",316,R_2RPrKZ3jayltUad,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,biology,9,1,5,2,5,1,1,1,3,1,31,0,4,1,6,1,8,9,0,,,,,,,,,,,,
577,xAB7,Income.AU,4,0,"The government is attempting action to lower the unemployment rate instead of just talking about it. They are also not expecting the participants to just go out and find jobs, they are offering a way for them, every month, to attend job fairs. I am also assuming these jobs will be within the qualification range of the participants.",220,R_24CbWfYstsjlch4,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,3,2,4,2,2,0,3,1,33,0,3,0,3,0,7,8,0,,,,,,,,,,,,
578,xA5,Charity.Roof,4,0,"Perhaps he could have given people below a certain income level a more self-sustaining way to survive better, such as teaching them how to produce food. Having a roof over one's head is pretty basic for human beings to exist, so I feel it is somewhat appropriate, and a good starting point to help people.",285,R_1hFrwxvn7XGBbU1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Biology,9,1,1,1,5,1,2,0,3,1,68,1,4,1,4,1,3,9,0,,,,,,,,,,,,
579,xB6,Recruit.Career,4,0,Because i think it's the humane and right thing to do.  People are supposed to have access to good healthcare!,333,R_2h63bAZutsXNfd7,2,1,1,1,2,0,2,1,1,0,2,0,2,0,2,0,1,0,2,,3,0,5,4,4,2,2,0,3,1,73,1,3,0,3,0,11,3,0,,,,,,,,,,,,
580,xB2,DrugTeach.B,5,0,"Doctor Jones's choice of providing his patients with drug B ""to provide good treatment to his patients"" suggests that he has less confidence in the effectiveness of drug A.",219,R_3iFsW7b9TImcHU9,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,1,4,2,1,1,3,1,35,1,6,1,5,1,4,8,0,,,,,,,,,,,,
581,xA4,Teacher.Bonus,5,0,"I think teachers are grossly underpaid. That they work harder than their students, and should very much be rewarded.",144,R_3JDU8UHxw1tW260,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,3,3,4,2,2,0,3,1,30,0,3,0,2,0,8,8,0,,,,,,,,,,,,
582,xAB1,Drug.AB,4,0,If they are both FDA approved and both proven to treat the condition I think it would be a reasonable choice to behave as the scenario suggests.  My only hope would be that if he found one drug to be vastly preferable before a year that he would change patient's meds accordingly.,472,R_3DvwGsUhSMC9kuf,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,5,3,3,3,2,0,3,1,51,1,6,1,6,1,11,8,0,,,,,,,,,,,,
583,xA2,DrugTeach.A,4,0,It was based on my feelings about the situation.The facts also were important.,431,R_sRppTe4QvJg9n8J,2,1,2,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,8,0,5,4,5,1,1,1,2,0,33,0,4,1,4,1,10,8,0,,,,,,,,,,,,
584,xB3,Funds.Highlight,5,0,"I would agree that most do not plan ahead for their retirement. I think that is a great idea to provide employees with this information so that they have it, and have the option to do something about it.",208,R_3n3gyQCQk85s5oc,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,1,Associate Degree in Applied Science,8,1,5,4,2,4,2,0,3,1,28,0,3,0,4,1,13,8,0,,,,,,,,,,,,
585,xAB5,Charity.RT,1,1,"The idea to train people in a trade is a good one, but the period of training is too short to teach the person very much detail of a trade, and also then the waiting period of one year to see how the person does in that trade is way too long.  If these people need help now since they are in extreme poverty, then the plan for training is impractical and giving some of them a roof is not going to help with getting food and medical care.",617,R_3suiVp0TIRtpNBW,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,n/a,9,0,3,4,4,2,2,0,3,1,81,1,6,1,3,0,9,9,0,,,,,,,,,,,,
586,xA3,Funds.More,5,0,"The CEO is trying to get newly hired employees interested in joining the retirement plan.  With more investment funds, more people may want to try it.",302,R_32MbG8EIUukhhvS,2,1,1,1,2,0,2,1,2,1,1,1,1,1,1,1,1,0,2,,7,0,1,1,5,1,2,0,3,1,38,1,2,0,3,0,3,7,0,,,,,,,,,,,,
587,xA2,DrugTeach.A,4,0,"The intention behind the prescription is somewhat clearly mentioned. Drugs A and B seem to have similar properties and are tolerated well, so the question is not of being able to tailor a drug to a person but more about a preference on the doctor's part. This preference now is a bit of a gray area because I would like to know other factors that differentiate the two drugs, such as their price, insurance coverage or other ways in which there could be a conflict of interest on the part of the prescribing authority.",471,R_UxpqlJBXnFaD4A1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Biomedical Engineering,9,1,2,1,4,2,2,0,"3,4",0,32,0,6,1,5,1,5,9,0,,,,,,,,,,,,
588,xA6,Recruit.Social,5,0,Because they have to very smart and also willing to live in the most remote regions of the country. Totally committed people are required.,245,R_3QL7uKV1mVKEm7o,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,2,1,5,1,2,0,3,1,56,1,3,0,1,0,4,8,0,,,,,,,,,,,,
589,xA7,Income.All,5,0,Once people start making money they have a foundation and that makes them want to continue earning money. It is a very good idea.,178,R_1JLAioxAj9Rog2x,2,1,1,1,1,1,2,1,2,1,1,1,2,0,2,0,2,1,1,Computer science,7,1,2,3,5,1,1,1,2,0,22,0,4,1,3,0,6,7,0,,,,,,,,,,,,
590,xA4,Teacher.Bonus,3,0,While monetary incentives are good short term motivators overall they fail to properly motivate teachers the right way for a long time,173,R_2AWqviSZpnxayeT,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,3,4,2,1,1,4,0,31,0,4,1,4,1,8,9,0,,,,,,,,,,,,
591,xB4,Teacher.Breaks,5,0,"It seems to benefit both the teachers and the students, so I think it was an appropriate choice for them to make. However, only time will tell if it was effective or not.",138,R_2SuAnQKFIpb7RIk,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,4,2,2,0,3,1,19,0,3,0,2,0,7,9,1,,,,,,,,,,,,
592,xB2,DrugTeach.B,3,0,"Both drugs are described as being affordable, and, having no distinct differences with regards to side effects. However, there may be personal preference, so, it may be advisable that Dr Jones discusses both options with the patients, rather than deciding on only a single option. Additionally, the Dr may want to consider other factors that may drive decision outcome.",241,R_qydO3kusGDRwTmN,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,2,3,3,1,1,3,1,37,1,3,0,6,1,6,9,0,,,,,,,,,,,,
593,xAB2,DrugTeach.AB,5,0,"Considering both drugs are safe, effective, affordable and side affects are tolerable, I think what Dr. Jones is doing is commendable.  I would have a different view if we didn't know the effects of the drugs.",672,R_wZvBlibeCHVOYWR,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,0,2,,7,0,2,3,3,3,2,0,3,1,65,1,3,0,1,0,8,7,0,,,,,,,,,,,,
594,xAB4,Teacher.BoBr,5,0,Teachers need to be able to have a choice they do so much,220,R_2OJXlLlBhT1qjgR,2,1,1,1,1,1,1,0,1,0,2,0,1,1,1,1,2,1,2,,6,0,5,5,4,2,2,0,3,1,31,0,4,1,3,0,12,6,0,,,,,,,,,,,,
595,xA6,Recruit.Social,1,1,A person needs to feel needed and appreciated.  I feel that it would be very appropriate to recruit people to serve in this capacity by showing the social impact it would have not only for that individual but the people they would be serving.,292,R_2roTuvXn7Ve0DNU,2,1,1,1,1,1,2,1,1,0,1,1,2,0,1,1,2,1,2,,7,0,1,5,4,2,2,0,3,1,59,1,4,1,4,1,8,7,0,,,,,,,,,,,,
596,xA3,Funds.More,5,0,It shows that the CEO cares about his employees. He wants to make sure that his employees are responsible and consider their future.,144,R_AbAsiwAKcETFnUZ,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,4,3,5,1,2,0,3,1,31,0,3,0,2,0,8,8,0,,,,,,,,,,,,
597,xA1,Drug.A,5,0,Dr Jones is looking out for the well being of his patients. Giving them drug A will lower their blood pressure,211,R_3kFYbmL11gJJCZI,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,1,Chemistry ,7,1,5,5,4,2,2,0,1,0,33,0,6,1,6,1,12,7,0,,,,,,,,,,,,
598,xB6,Recruit.Career,5,0,Nation needs help in medical services and creates a new position for health assistants.,290,R_1Cw2PEwui0h3iDC,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,4,2,5,1,2,0,3,1,51,1,4,1,3,0,7,8,0,,,,,,,,,,,,
599,xA5,Charity.Roof,4,0,"I think his decision will help those in extreme poverty. However, it's possible that there are better ways to spend that money in order to help those in need.",435,R_ehxASb49W3iH6Ap,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,1,1,5,1,1,1,3,1,21,0,3,0,3,0,3,8,0,,,,,,,,,,,,
600,xAB1,Drug.AB,3,0,I went with my gut.  That's usually what I do.,250,R_3PzQONxEbAfOTSq,1,0,2,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,"An electron is part of an atom so your question doesn't really make a lot of sense.  A better test would be ""an electron is smaller than the nucleus"" or ""an electron is less MASSIVE than a proton"".  Massive is the key word.",7,1,3,3,3,3,1,1,3,1,35,1,6,1,5,1,9,7,0,,,,,,,,,,,,
601,xB5,Charity.Train,5,0,The training can help people to develop skills that could help them to get a job.  They might also discover new talents.,465,R_2cCyX0HKTPYsf7W,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,4,2,4,2,2,0,3,1,36,1,6,1,5,1,8,8,0,,,,,,,,,,,,
602,xAB3,Funds.MH,4,0,not everyone in the company will have the same opportunity and they will sue him for discrimination in the future.,264,R_3JKqoMfFxK9ZFcQ,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,,7,0,5,5,5,1,2,0,3,1,41,1,3,0,4,1,11,7,0,,,,,,,,,,,,
603,xB7,Income.Unemployed,4,0,"I'm not sure how far $500 would go in that country, but it beats nothing. It seems fair that these citizens should have to attend monthly job fairs, otherwise people who really don't care might try to take advantage of this money.",496,R_1OrwaENx0GEGQni,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Computer science,9,1,4,2,4,2,2,0,4,0,23,0,4,1,4,1,8,9,0,,,,,,,,,,,,
604,xAB2,DrugTeach.AB,5,0,He choose the best thing for the patient. He is not truing to make money from them and put their life in danger.,246,R_u1BcdY5KNOJ38Ln,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,5,5,5,1,2,0,4,0,34,1,6,1,1,0,11,7,0,,,,,,,,,,,,
605,xAB6,Recruit.SC,3,0,"Well, the congress did not tell us which characteristics are the preferred one for the Health Assistant. The congress did not specify what it means by ""the highest-quality job applicants""(HQJA). 

Does HQJA mean one who is more inclined to serve the people without emphasis on promotion? Does it mean one inclined to the opposite? The information provided left this uncertainty stand. If the two pathways to recruitment are equally acceptable, then the year long experiment had no specific target outcome. No further comments.",841,R_pfR6SBFl2VQgApj,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Mathematics & Physics. ,9,1,3,1,5,1,1,1,5,0,36,1,6,1,5,1,5,9,0,,,,,,,,,,,,
606,xB3,Funds.Highlight,4,0,I think the CEO is just trying to help new employees.  He realizes how important it is to save for retirement and wants to make the process easier for new hires.  Retirement planning is confusing and this should simplify things for people.,326,R_1Ok4u9XGvKDzoUE,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,5,4,2,4,2,0,3,1,42,1,3,0,4,1,13,7,0,,,,,,,,,,,,
607,xAB3,Funds.MH,3,0,"I don't find it inappropriate in any way, and I understand that by following trends he may find a better way to get new hires to sign up, but he may hire a group of young workers all together that might skew the study a bit that doesn't benefit older new hires.",221,R_1OqKUbYoAzqIcTv,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Health information systems,9,1,3,3,3,3,1,1,3,1,38,1,4,1,6,1,9,9,0,,,,,,,,,,,,
608,xAB4,Teacher.BoBr,4,0,I think the vacation days compares equally to a yearly bonus. I think it's appropriate. A lot of people would prefer more vacation days instead of more money.,169,R_1DpXiq8PLWZRGIh,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,2,4,2,2,0,3,1,24,0,2,0,2,0,5,8,0,,,,,,,,,,,,
609,xAB7,Income.AU,4,0,"because it helps prople, especially the less fortunate. This if good because people need help. The government should be able to give back to citizens in need",502,R_1LZs2UQdEuzvQVc,2,1,2,0,2,0,2,1,2,1,1,1,1,1,1,1,1,0,2,,6,0,5,4,3,3,2,0,1,0,18,0,3,0,6,1,12,6,0,,,,,,,,,,,,
610,xA1,Drug.A,5,0,"Of the approved drugs, Dr. Jones chose the one that his patients can afford and that the side effects aren't too bad",140,R_2ZQ96tmje7J8uUA,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,1,5,1,2,0,3,1,29,0,6,1,4,1,4,9,0,,,,,,,,,,,,
611,xA6,Recruit.Social,5,0,Healthcare is a difficult but trusted profession. This suggestion rewards the service and makes a profession of service desirable.,364,R_4UEF1RVeEgzXU4x,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,4,5,1,2,0,3,1,41,1,6,1,5,1,9,9,0,,,,,,,,,,,,
612,xA3,Funds.More,3,0,I honestly do not understand enough about what the number of available investment funds would mean for the plan's viability.,181,R_3sdecptWrutOiQL,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,2,4,5,1,1,1,4,0,26,0,3,0,2,0,7,8,0,,,,,,,,,,,,
613,xAB7,Income.AU,4,0,"They are encouraging folks to look for work, helping them out along the way, and trying to find the most economical way to do it. It does stink a little bit they have to experiment at this point. We should already know what works...",331,R_1fcHlmvG0UB6d23,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Masters in mechanical engineering,9,1,4,3,5,1,1,1,3,1,40,1,6,1,6,1,8,9,0,,,,,,,,,,,,
614,xA7,Income.All,4,0,I chose my answer because I get unemployment and I under it completely,119,R_2QYh7qGqDKVARxm,2,1,1,1,2,0,2,1,2,1,2,0,2,0,1,1,1,0,2,,5,0,3,3,2,4,2,0,1,0,29,0,3,0,2,0,10,5,0,,,,,,,,,,,,
615,xB2,DrugTeach.B,4,0,"I feel it is somewhat appropriate since it has the same tolerable side effects and affordability as drug A. The only reason I didn't pick very appropriate is because there is no mentioning of the effectiveness of these two drugs so I can't judge the relative benefits between the two. Furthermore, I think it is somewhat appropriate since its the same drugs that some of the other doctors in the clinic use so its not like Doctor Jones is diverging significantly from traditionally offered drugs for high blood pressure by offering a drug that none of the doctor is offering to their clients.",410,R_OfMAzQw9TZEyMTL,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,1,0,2,,6,0,1,1,4,2,1,1,4,0,22,0,4,1,3,0,4,6,0,,,,,,,,,,,,
616,xB3,Funds.Highlight,5,0,The CEO is offering new employees a chance to put back for their retirement and he has knowledge of the 10 most popular to give the employees a head start so that they will not find themselves in a bind later in life.,521,R_cZQPp1ei5wxFcJP,2,1,1,1,1,1,2,1,1,0,2,0,2,0,1,1,2,1,2,,6,0,5,4,4,2,2,0,1,0,60,1,3,0,2,0,11,6,0,,,,,,,,,,,,
617,xAB5,Charity.RT,3,0,I'm not sure whether this idea is good or terrible.,182,R_2v3beUiwd4KlUX4,2,1,1,1,1,1,2,1,2,1,1,1,2,0,1,1,2,1,2,,8,0,3,3,4,2,2,0,3,1,31,0,4,1,2,0,8,8,0,,,,,,,,,,,,
618,xB7,Income.Unemployed,4,0,It is helpful to folks out of work who may have no savings even if they do find a job so getting the stipend helps them and does not encourage them to hold off on lower paying work while they are get to the money. However it might be unfair to people job hunting for less than 12 months.,250,R_2rTQ9DRg4LHWSSp,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,1,5,1,2,0,3,1,39,1,6,1,5,1,4,9,0,,,,,,,,,,,,
619,xB1,Drug.B,4,0,Because he is a doctor and is certified in his field. Do you ever see a Doctor trying to be a lumberjack? Exactly.,192,R_2ze9rLVcw0we5gm,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,1,3,2,4,1,1,3,1,27,0,3,0,5,1,8,8,0,,,,,,,,,,,,
620,xA2,DrugTeach.A,3,0,"As both drugs seem to work well (and are affordable), it isn't morally wrong to begin with drug A to see how it effects the patient--as it can be changed later on if necessary.",259,R_r8QDzjWRbVAnm5r,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,2,1,5,1,1,1,3,1,29,0,3,0,2,0,4,8,0,,,,,,,,,,,,
621,xAB1,Drug.AB,5,0,"If both drugs are approved and safe for the patients, then he is okay to administer his test.",262,R_1H7WXa9t9DIz1cd,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,4,3,4,2,1,1,4,0,42,1,4,1,2,0,9,8,0,,,,,,,,,,,,
622,xB6,Recruit.Career,3,0,"This seems unrealistic, but there are already social workers and others who currently do this work, so it seems unnecessary.",172,R_3IQ9RaTSZlKblzE,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,Physics,8,1,4,2,5,1,1,1,3,1,38,1,6,1,4,1,7,8,0,,,,,,,,,,,,
623,xAB2,DrugTeach.AB,2,1,It's more appropriate from him to make an informed decision as a doctor about each drug and prescribe them to his patients based on individual needs,146,R_3O85bLtoc1R2UeS,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,1,Veterinary medicine,8,1,1,1,5,1,2,0,3,1,25,0,5,1,2,0,3,8,0,,,,,,,,,,,,
624,xB5,Charity.Train,5,0,I think helping people to come out of poverty is very appropriate and appreciable.,191,R_1riZBn5MqmCcJHT,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,1,Medicine,8,1,5,3,4,2,2,0,4,0,22,0,3,0,3,0,10,8,0,,,,,,,,,,,,
625,xAB6,Recruit.SC,2,1,They could use both posters in each of the districts and start training Health Assistants on a rolling basis instead of waiting two full years until the first Health Assistants are deployed to help the sick.,319,R_WfxaseH83B0gQwx,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Behavioral Neuroscience,9,1,4,3,5,1,2,0,3,1,24,0,4,1,1,0,8,9,0,,,,,,,,,,,,
626,xAB7,Income.AU,5,0,It is good to help people out where you can. Those less fortunate need help getting back on their feet.,123,R_3O63nOPGuBg6L4J,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,2,1,2,,7,0,2,1,5,1,2,0,2,0,34,1,4,1,4,1,4,7,0,,,,,,,,,,,,
627,xA5,Charity.Roof,2,1,"A large injection of cash or goods into an impoverished country usually does more harm than good.  By flooding the economy with cheap housing, one can stymie local competition and perpetuate the cycle of poverty.",184,R_3lrHZVjjt9yYzbV,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,29,0,2,0,6,1,3,9,0,,,,,,,,,,,,
628,xA4,Teacher.Bonus,5,0,"More income for teachers can lead to a better financial status for them, perhaps resolving some stress and other issues related to their finances. If they have fewer things to worry about outside of work, they are better able to focus their attention on their students, which, according to the research conclusion mentioned, will result in better student outcomes.",379,R_BKQ6YO2NTvWStPP,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,1,0,2,,6,0,2,1,5,1,1,1,3,1,22,0,3,0,6,1,4,6,0,,,,,,,,,,,,
629,xA5,Charity.Roof,3,0,I feel like there may be better uses of funds for people living in extreme poverty.,208,R_31nMbmPVe52E3gY,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,3,2,5,1,2,0,3,1,32,0,4,1,5,1,6,8,0,,,,,,,,,,,,
630,xA4,Teacher.Bonus,4,0,"I think it is a somewhat appropriate decision. If the teachers are making more money, that can help with morale. However, i think there are also other ways to increase happiness and well-being that are not necessarily monetary.
",269,R_1OJizV9EUyEPcQG,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,1,Geography,8,1,4,3,4,2,2,0,3,1,28,0,4,1,6,1,9,8,0,,,,,,,,,,,,
631,xA2,DrugTeach.A,5,0,I assume Dr. Jones is competent since he is practicing medicine and he is not alone in prescribing drug A.  If drug A side effects can be tolerated and is affordable then my assumption is that it's appropriate.  I would prefer to also know information about the drug's effectiveness.,213,R_3MG1lxPqxrQKXDg,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,1,1,5,1,1,1,3,1,33,0,4,1,6,1,3,8,0,,,,,,,,,,,,
632,xB3,Funds.Highlight,5,0,"He's helping his employees make easier choices for retirement investing, easier process more chance of enrollment.",151,R_2z6iVzhkhYa9BI4,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,1,1,5,1,1,1,4,0,34,1,3,0,1,0,3,8,0,,,,,,,,,,,,
633,xB5,Charity.Train,4,0,It sounds like the program being implemented might actually help these people. I would have to say that it seems positive on the face of things.,92,R_2uVvROTBeQrWn3j,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,2,5,1,2,0,3,1,39,1,4,1,3,0,4,8,0,,,,,,,,,,,,
634,xAB3,Funds.MH,5,0,He is trying to find thr best way to get his folks to start saving. I think it is a noble way to do it.,294,R_3ixVUhbun9s9k40,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,Electrical engineering. ,8,1,2,2,4,2,1,1,3,1,46,1,6,1,6,1,6,8,1,,,,,,,,,,,,
635,xAB2,DrugTeach.AB,5,0,He is trying to determine the better drug out of the two,476,R_tY6PkIDjIma8SXf,2,1,1,1,2,0,2,1,2,1,2,0,2,0,1,1,2,1,1,Medical engineering ,6,1,5,5,4,2,2,0,3,1,34,1,4,1,5,1,12,6,0,,,,,,,,,,,,
636,xAB4,Teacher.BoBr,2,1,The superintendent should not be experimenting with his personnel. I think there are other ways to try this theory but this one sounds bad.,232,R_2uDGAXABaHs6EtD,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Agricultural sciences,9,1,2,1,5,1,2,0,2,0,42,1,5,1,2,0,4,9,0,,,,,,,,,,,,
637,xB1,Drug.B,5,0,"Patient is depending on Doctor to prescribe the drug they need. Doctor Jones prescribed legal drug based on the his knowledge and affordability, there is nothing wrong with it.",433,R_1IQMjh4ODbBCB75,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,computer science,9,1,2,3,5,1,2,0,4,0,27,0,4,1,4,1,6,9,0,,,,,,,,,,,,
638,xB6,Recruit.Career,5,0,"I don't see anything wrong with them wanting to recruit the best people for the job. As long as the poster is accurate and honest, it seems appropriate.",345,R_x4PudmfBMsPl3Mt,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,2,2,5,1,2,0,3,1,32,0,6,1,6,1,5,9,0,,,,,,,,,,,,
639,xA1,Drug.A,4,0,It is an effective drug with not too bad side effects.,140,R_2qk1l8AGlidQi6p,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,5,4,3,3,1,1,3,1,36,1,4,1,5,1,12,7,0,,,,,,,,,,,,
640,xB4,Teacher.Breaks,5,0,"If the teachers receive additional days off , then so do the students, so it doesn't make sense. The kids would be losing school time and I don't think that's allowed by federal or state law standards. Some other type of perk needs to be given",1677,R_PBxrdU05Q6aMRrj,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,3,3,3,3,2,0,3,1,63,1,3,0,5,1,9,8,0,,,,,,,,,,,,
641,xA7,Income.All,4,0,I think it's best to provide opportunities.,273,R_28MONXUAemReNV4,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,4,4,2,2,0,3,1,32,0,3,0,3,0,11,9,0,,,,,,,,,,,,
642,xAB1,Drug.AB,1,1,"It is inappropriate UNLESS he is running a study and the patients consented to being included in it, knowing that they may not be getting medication. Also, he should give them their standard treatment instead of a placebo versus the new treatment",270,R_TpB6xFgmszi9NW9,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,"Biology, also currently a public health masters student",9,1,1,1,5,1,2,0,3,1,27,0,5,1,2,0,3,9,0,,,,,,,,,,,,
