,ID,Time.Started,Time.Finished,OS,Country,Area,City,Provider,Gender,Age,Year.Of.Birth,Question.1,In.a.couple.of.sentences..please.tell.us.why.you.chose.the.option.you.chose.,God.or.some.type.of.nonhuman.entity.is.in.control.of.the.events.in.the.universe.,We.believe.too.often.in.science..and.not.enough.in.feelings.and.faith.,Knowledge.can.best.be.obtained.through.scientific.research.,Marital.Status,Number.of.children,Education,Employment.Status,Career,Race,Income,Musicfan,Productivity.Booster,Bookworm,Socialite,Traveler,Sportsfan,Gamer,Value.Shopper,Food.and.Dining.Lover,Entertainment.Enthusiast,Fashionista,ADID.IDFA
21,-1298687752,8/19/17 6:48,8/19/17 6:48,Android,US,California,Cottonwood,TextNow,female,25 - 34,1990,Very inappropriate,It's much safer and more practical with less risk to the patient,Disagree,Neither disagree nor agree,Neither disagree nor agree,married,one,high_school,unable_to_work,other,multiracial,lower_i,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27c66ab1-5b82-4318-bf62-ca8053d723dc
21,-1298687752,8/19/17 6:48,8/19/17 6:48,Android,US,California,Cottonwood,TextNow,female,25 - 34,1990,Very appropriate,It's a much safer and practical method and less risk to the patient,Disagree,Neither agree nor disagree,Neither agree nor disagree,married,one,high_school,unable_to_work,other,multiracial,lower_i,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27c66ab1-5b82-4318-bf62-ca8053d723dc
20,-1296895732,8/20/17 17:48,8/20/17 17:49,Android,US,Illinois,Oswego,Verizon Wireless,female,35 - 44,1982,Somewhat appropriate,The Patient and the Dr have the right to choose together,Agree,Agree,Neither agree nor disagree,married,four,university,employed_for_wages,health_care_and_social_assistance,hispanic,middle_ii,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2e509a0a-c426-4a31-946a-f0ac9c75e5f7
23,-1278543523,8/19/17 6:46,8/19/17 6:48,Android,US,Arkansas,Russellville,Verizon Wireless,female,45 - 54,1971,Very inappropriate,It's highly inappropriate because his patients have not been given informed consent.  You can't just run medical experiments without the patient nit knowing the possible pros and cons,Strongly agree,Neither agree nor disagree,Disagree,married,four,university,unemployed_looking,education,white,middle_i,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,502f466b-58ce-4487-a383-9f4739ecb68c
88,-1275682496,8/19/17 6:38,8/19/17 6:44,Android,US,Unknown,Unknown,AT&T,female,> 54,1962,Very appropriate,It's easy to forget procedure in a rushed situation.  Being able to read exactly what to do might be the difference in saving a life.  There should be no shame in checking the procedure just before actually doing it.  It's better than doing something wrong and ending up with a dead person and their family.,Agree,Agree,Agree,divorced,two,university,unable_to_work,homemaker,white,lower_i,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,c1e31849-a7c9-4e93-9e32-9926ed907cfd
27,-1262002347,8/19/17 6:48,8/19/17 6:48,iOS,US,Texas,Unknown,Verizon,female,18 - 24,1993,Very appropriate,I'm a premed student and these trials are how we learn. The director needs to fine the best possible solution and this trial is needed for the best outcome.,Strongly agree,Neither disagree nor agree,Strongly agree,living_with_partner,one,high_school,student,student,hispanic,middle_i,,,,,,,,,,,,4F347370-78D8-40AC-9288-78037A86C378
36,-1262002347,8/19/17 6:49,8/19/17 7:06,iOS,US,Texas,Unknown,Verizon,female,18 - 24,1993,Very appropriate,I'm a premed student and I know the importance of trials. From these trials we learn the best way to treat or cure an illness. Without these trials there is no learning being done.,Strongly agree,Neither agree nor disagree,Strongly agree,living_with_partner,one,high_school,student,student,hispanic,middle_i,,,,,,,,,,,,4F347370-78D8-40AC-9288-78037A86C378
54,-1255560342,8/19/17 7:09,8/19/17 7:10,Android,US,Arizona,Peoria,T-Mobile,female,18 - 24,1997,Very inappropriate,Because i think its an amazing new type of thing to do.,Agree,Neither agree nor disagree,Neither agree nor disagree,married,one,high_school,unemployed_looking,retail,white,middle_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,941dd981-2394-47eb-8189-a4a257b17c25
74,-1251192264,8/19/17 7:05,8/19/17 7:06,Android,US,Ohio,Columbus,MetroPCS,female,18 - 24,1997,Very inappropriate,Because he can save lives but its deadly so what live is he saving since it can kill people anyways.,Strongly agree,Neither agree nor disagree,Strongly agree,married,one,high_school,unemployed_not_looking,military,multiracial,lower_ii,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,a8803002-421c-47f9-aa9b-9f22fb4f440b
18,-1249405220,8/19/17 7:05,8/19/17 7:05,Android,US,Illinois,Pekin,Virgin Mobile,female,18 - 24,1998,Neither appropriate nor inappropriate,I don't think it is right at all.,Disagree,Agree,Neither disagree nor agree,living_with_partner,prefer_not_to_say,high_school,employed_for_wages,student,white,prefer_not_to_say,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2195f7fc-5193-4c5d-bb89-258fef757bb3
13,-1249405220,8/19/17 7:06,8/19/17 7:06,Android,US,Illinois,Pekin,Virgin Mobile,female,18 - 24,1998,Very inappropriate,It isn't right at all.it is very wrong.,Strongly agree,Strongly agree,Agree,living_with_partner,prefer_not_to_say,high_school,employed_for_wages,student,white,prefer_not_to_say,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2195f7fc-5193-4c5d-bb89-258fef757bb3
87,-1247034296,8/19/17 7:08,8/19/17 7:09,Android,US,North Carolina,Unknown,HOME,female,25 - 34,1988,Very appropriate,Whoever performing this procedure should be aware of how to prevent infections.  Patients should be allowed to read this and make sure the doctor is treating them properly.,Neither disagree nor agree,Disagree,Strongly agree,married,one,high_school,student,student,white,lower_ii,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,abbb28e4-8436-48c9-b0be-865e1f5ea567
44,-1246547118,8/19/17 6:49,8/19/17 7:06,Android,US,Kentucky,Elizabethtown,H2O,female,35 - 44,1976,Neither inappropriate nor appropriate,Not sure why didn't understand,Agree,Strongly agree,Strongly disagree,living_with_partner,six_or_more,high_school,other,other,white,prefer_not_to_say,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,658505f4-79d0-4110-9699-a795147cdae9
78,-1236440150,8/19/17 6:47,8/19/17 6:49,Android,US,Florida,Davenport,AT&T,female,25 - 34,1985,Neither inappropriate nor appropriate,"There really isn't enough information in the question. I get the importance of safety but if the Dr is performing this shouldn't he already know. Also, who is going to read the back of their badge when performing the procedure. It seems like the director is more concerned about legal matters than safety.",Disagree,Strongly disagree,Strongly agree,married,one,university,homemaker,arts_entertainment_or_recreation,white,lower_ii,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,b2255c34-95b7-42ff-bbe5-90fcb7e9ffb0
77,-1236099158,8/19/17 6:52,8/19/17 6:53,Android,US,Georgia,Unknown,AT&T,female,18 - 24,1993,Neither appropriate nor inappropriate,"Uhm, I don't even know?",Agree,Agree,Strongly agree,prefer_not_to_say,prefer_not_to_say,high_school,other,other,white,prefer_not_to_say,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,b71673fc-715c-4962-8d49-50dcafdc3cde
47,-1235952072,8/19/17 7:10,8/19/17 7:11,iOS,US,Washington,Seattle,Verizon,female,25 - 34,1988,Somewhat appropriate,"I would want a standardized set of operations for something like this,",Disagree,Disagree,Strongly agree,married,one,postgraduate,homemaker,unemployed,white,middle_ii,,,,,,,,,,,,874E5770-95EE-4F98-93DD-C1E34E73AD39
26,-1235332202,8/19/17 6:48,8/19/17 6:49,Android,US,California,San Jose,MetroPCS,female,25 - 34,1990,Very inappropriate,Becuz I think it should be kept private,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,single,two,vocational_technical_college,other,other,hispanic,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,41bade2e-7deb-4f11-ba26-8ed04b347088
20,-1229240415,8/19/17 6:41,8/19/17 6:44,Android,US,California,Unknown,MetroPCS,female,45 - 54,1971,Somewhat inappropriate,It is a good way to find out which way works and gets followed.,Strongly agree,Strongly agree,Neither agree nor disagree,single,two,high_school,unemployed_looking,unemployed,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,431b2351-87d9-46bf-a323-eb90c58bd96f
71,-1224774032,8/20/17 17:47,8/20/17 17:48,Android,US,Missouri,St Louis,Verizon Wireless,female,18 - 24,1997,Somewhat inappropriate,Eehjrndndjdbrnrbrbrrhejrj. Uvuvucufyf7civiv8f7f.ivivuvuc7f,Agree,Strongly agree,Agree,separated,zero,high_school,unemployed_looking,arts_entertainment_or_recreation,white,prefer_not_to_say,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,8b7b7446-5453-4e4e-89bd-ba18df99b895
6,-1222560563,8/19/17 6:37,8/19/17 6:39,iOS,US,Virginia,Manassas,AT&T,female,45 - 54,1969,Somewhat appropriate,My mother recently pasted away and was treated at kindred hospital for a year at the age of 88 and everything they did was so inadequate I feel as though they contributed to her escalation the resulted in death,Disagree,Disagree,Agree,single,zero,high_school,unemployed_looking,other,multiracial,lower_i,,,,,,,,,,,,0AB3EE02-2283-434B-8D74-4A9237F2FB4B
115,-1221918534,8/19/17 6:48,8/19/17 7:05,Android,US,Kansas,Chanute,,male,25 - 34,1983,Neither inappropriate nor appropriate,Well I don't know much about medical treatmentds or how they usually decide what treatments to use so I don't know how to feel about the way he chose to go about it...,Strongly agree,Agree,Agree,living_with_partner,five,high_school,unable_to_work,unemployed,white,lower_i,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,d2077468-c3e4-4b1c-ab70-2b7e8644a3d5
31,-1216396651,8/19/17 7:09,8/19/17 7:09,iOS,US,California,Long Beach,T-Mobile,female,25 - 34,1987,Very inappropriate,I wouldn't risk the patient following the instructions,Disagree,Strongly disagree,Strongly agree,married,one,high_school,employed_for_wages,retail,hispanic,middle_i,,,,,,,,,,,,5BDFBA7B-922F-4A25-9F44-E8F600259119
44,-1215303574,8/19/17 6:48,8/19/17 6:49,iOS,US,California,Bakersfield,Verizon,female,45 - 54,1968,Very appropriate,It can serve as a constant reminder of patient safety,Strongly agree,Strongly agree,Neither disagree nor agree,single,one,vocational_technical_college,employed_for_wages,health_care_and_social_assistance,latino,lower_ii,,,,,,,,,,,,5B41C759-9D4D-4045-8C1A-3A76DB912198
100,-1210704383,8/19/17 6:47,8/19/17 6:47,Android,US,Arkansas,Mountain Home,cricket,female,25 - 34,1987,Very inappropriate,I just think that this sounds absurd. That's many lives he is putting at risk for an experiment,Strongly agree,Strongly agree,Disagree,divorced,zero,university,unable_to_work,unemployed,white,lower_i,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,a6d8557d-468a-4b0d-a28a-7d35b78a8735
78,-1210704383,8/19/17 6:48,8/19/17 6:48,Android,US,Arkansas,Mountain Home,cricket,female,25 - 34,1987,Very inappropriate,This sounds like a dangerous procedure putting patients lives at risk,Strongly agree,Strongly agree,Neither agree nor disagree,divorced,zero,university,unable_to_work,unemployed,white,lower_i,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,
102,-1199800873,8/19/17 6:43,8/19/17 6:44,Android,US,Unknown,Unknown,Unknown,female,45 - 54,1967,Very appropriate,Its very ok important on all medical reasons.,Neither agree nor disagree,Agree,Neither agree nor disagree,living_with_partner,one,vocational_technical_college,employed_for_wages,retail,white,lower_ii,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,ae988e0d-8b5a-40a0-a23c-a6d6b7b5fb0d
53,-1197667193,8/19/17 6:41,8/19/17 6:42,iOS,US,Utah,Saint George,Verizon,female,25 - 34,1991,Very inappropriate,The patients are unaware that they are being test subjects. The doctor should have to go through the proper channels to perform a study of his hypothesis.,Agree,Neither agree nor disagree,Agree,married,two,vocational_technical_college,homemaker,homemaker,white,lower_ii,,,,,,,,,,,,726974B0-F2D3-477D-A4AD-A38E8F6F7922
12,-1194561710,8/19/17 6:37,8/19/17 6:47,Android,US,Oklahoma,Tulsa,Verizon Wireless,female,35 - 44,1977,Neither inappropriate nor appropriate,Making a list on a badge Id and one on a wall has nothing to do with what the main subject,Agree,Disagree,Disagree,separated,two,middle_school,unable_to_work,homemaker,hispanic,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2cad3bba-0435-4e99-b128-0c2de40e6a06
23,-1194561710,8/19/17 6:47,8/19/17 6:47,Android,US,Oklahoma,Tulsa,Verizon Wireless,female,35 - 44,1977,Very appropriate,They will be able to see what not to do and be safe when doing the procedure,Agree,Disagree,Disagree,separated,two,middle_school,unable_to_work,homemaker,hispanic,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2cad3bba-0435-4e99-b128-0c2de40e6a06
19,-1193124090,8/19/17 6:48,8/19/17 6:48,iOS,US,West Virginia,Charleston,Verizon,female,35 - 44,1976,Very appropriate,Just my opinion,Strongly agree,Agree,Disagree,divorced,two,high_school,homemaker,homemaker,white,prefer_not_to_say,,,,,,,,,,,,41C1B4EE-37AE-40E6-B2C8-AAA473E7E690
29,-1182807275,8/19/17 6:48,8/19/17 7:05,iOS,US,Kentucky,Knob Lick,Bluegrass,female,25 - 34,1984,Somewhat inappropriate,"Because no matter the color, age, whatever that everyone deserves and should be treated equally and all have the same opportunities to live!!",Agree,Neither agree nor disagree,Agree,married,five,university,employed_for_wages,manufacturing_other,white,middle_i,,,,,,,,,,,,6253C1F4-8A15-41B6-97F7-DD9AD9F3D66D
62,-1140651053,8/19/17 7:09,8/19/17 7:10,iOS,US,Texas,San Antonio,MetroPCS,female,35 - 44,1981,Somewhat inappropriate,I think it should be the same for all.,Agree,Disagree,Strongly agree,living_with_partner,prefer_not_to_say,vocational_technical_college,other,unemployed,hispanic,lower_i,,,,,,,,,,,,FDED3B6C-5793-4B7C-8498-34CC97A5B10E
36,-1137512149,8/19/17 6:48,8/19/17 6:48,Android,US,Illinois,Chicago,Verizon Wireless,female,18 - 24,1993,Somewhat appropriate,Because medical treatment is very important,Strongly agree,Strongly agree,Agree,married,one,high_school,other,other,white,lower_ii,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4ca60ebb-a61a-4356-8076-49118a43e6b2
46,-1137125854,8/19/17 6:47,8/19/17 6:48,iOS,US,Utah,Logan,AT&T,male,25 - 34,1992,Very appropriate,"I assume the director will be going through a research integrity agency to approve research within the workplace among human subjects. Under those conditions, it's entirely appropriate.",Neither disagree nor agree,Agree,Disagree,married,one,university,employed_for_wages,education,white,lower_ii,,,,,,,,,,,,8181010F-A782-4601-9F6D-EC71721AB16E
57,-1137125854,8/19/17 6:48,8/19/17 6:48,iOS,US,Utah,Logan,AT&T,male,25 - 34,1992,Very appropriate,"I assume that the director will get appropriate approvals through research agencies for human subjects. Therefore, it's appropriate.",Neither disagree nor agree,Agree,Disagree,married,one,university,employed_for_wages,education,white,lower_ii,,,,,,,,,,,,8181010F-A782-4601-9F6D-EC71721AB16E
48,-1129477566,8/20/17 17:48,8/20/17 17:49,Android,US,Utah,Kaysville,,female,18 - 24,1993,Neither inappropriate nor appropriate,Nothing would have been very fair.,Agree,Neither agree nor disagree,Neither agree nor disagree,single,one,high_school,unemployed_not_looking,telecommunications,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6e04b180-38bc-4c7e-9ca5-cd78adc11085
62,-1126532998,8/19/17 7:05,8/19/17 7:06,iOS,US,Pennsylvania,Wilkes-Barre,,female,35 - 44,1979,Somewhat appropriate,Cause it's nice to know what doctors are able to do to save their patients,Strongly agree,Agree,Strongly agree,married,three,high_school,other,homemaker,white,lower_i,,,,,,,,,,,,D76D23B7-B141-4D76-9BA4-8C09D309E236
65,-1126532998,8/19/17 7:06,8/19/17 7:07,iOS,US,Pennsylvania,Wilkes-Barre,,female,35 - 44,1979,Very appropriate,People are more comfortable knowing what a doctor is able to do to save someone's life.,Strongly disagree,Strongly disagree,Agree,married,three,high_school,other,homemaker,white,lower_i,,,,,,,,,,,,D76D23B7-B141-4D76-9BA4-8C09D309E236
71,-1126532998,8/19/17 7:07,8/19/17 7:07,iOS,US,Pennsylvania,Wilkes-Barre,,female,35 - 44,1979,Neither appropriate nor inappropriate,I honestly don't know cause no matter what I say it's not going through,Neither disagree nor agree,Agree,Strongly agree,married,three,high_school,other,homemaker,white,lower_i,,,,,,,,,,,,D76D23B7-B141-4D76-9BA4-8C09D309E236
66,-1125683423,8/19/17 7:06,8/19/17 7:06,Android,US,Texas,Lancaster,MetroPCS,female,18 - 24,1999,Somewhat inappropriate,Because a doctor should know which precations to take,Agree,Neither agree nor disagree,Neither agree nor disagree,single,zero,high_school,other,other,hispanic,prefer_not_to_say,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,874e4697-650f-48ed-998c-b1caf7db2a03
49,-1125683423,8/19/17 7:07,8/19/17 7:08,Android,US,Texas,Lancaster,MetroPCS,female,18 - 24,1999,Very appropriate,Because we are all human and oders have more ability to learn about precautions with neddles however does precautions should be learned and knowledgeable by memory of a doctor,Neither disagree nor agree,Agree,Neither disagree nor agree,single,zero,high_school,other,other,hispanic,prefer_not_to_say,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,874e4697-650f-48ed-998c-b1caf7db2a03
21,-1115114291,8/19/17 6:41,8/19/17 6:42,Android,US,Utah,North Salt Lake,Boost Mobile,female,25 - 34,1988,Very appropriate,Cause that way we know whats safe,Agree,Neither agree nor disagree,Agree,married,three,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2a66fea2-912b-4453-8020-22851504c92e
58,-1110053049,8/19/17 7:06,8/19/17 7:06,iOS,US,Utah,Salt Lake City,Sprint,female,25 - 34,1987,Neither inappropriate nor appropriate,"Becouse i don't think it would be very effective I don't think a doctor would stop to read the card in the middle of a procedure, but then again it could help becouse else could read the card to the doce if need be.",Strongly agree,Agree,Agree,married,two,vocational_technical_college,self_employed,education,hispanic,lower_ii,,,,,,,,,,,,AB34D325-8CB3-4115-8FEB-2A8518D94ABF
48,-1107714197,8/19/17 6:48,8/19/17 6:51,Android,US,Tennessee,Unknown,Sprint,female,> 54,1962,Somewhat appropriate,"As long as the information is available  and easy to follow, both have access.",Disagree,Strongly disagree,Neither disagree nor agree,single,four,postgraduate,self_employed,health_care_and_social_assistance,white,lower_i,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,83b111fd-566f-4f90-af3e-6c2a79139b70
72,-1104739508,8/19/17 6:51,8/19/17 6:52,Android,US,Texas,Mabank,,female,35 - 44,1978,Somewhat inappropriate,I don't like the infection risk,Strongly disagree,Strongly disagree,Strongly agree,married,four,high_school,self_employed,other,white,middle_ii,,,,,,,,,,,,
83,-1099307278,8/19/17 6:47,8/19/17 6:48,Android,US,Kansas,Liberal,,female,> 54,1962,Neither appropriate nor inappropriate,I dont feel that either option is good or bad or the answer to solving the problem. As ddocctors they should be aware of thes precautions without a poster or a name badge with instructions,Neither disagree nor agree,Agree,Neither disagree nor agree,divorced,one,high_school,employed_for_wages,retail,white,lower_i,,,,,,,,,,,,
34,-1096291960,8/19/17 7:07,8/19/17 7:07,Android,US,Virginia,Staunton,HOME,female,35 - 44,1975,Somewhat inappropriate,I think they should patient consent,Strongly disagree,Disagree,Strongly agree,married,two,vocational_technical_college,employed_for_wages,health_care_and_social_assistance,black,middle_i,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,5cf5e3b3-a957-4081-8e65-1a76a674eb54
87,-1094628450,8/19/17 7:10,8/19/17 7:10,Android,US,Oregon,Portland,,female,25 - 34,1991,Neither inappropriate nor appropriate,It doesn't show how many have survived or died so it makes it hard to answer.,Agree,Agree,Agree,single,one,vocational_technical_college,other,scientific_or_technical_services,white,lower_i,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,da3e0d9b-f41b-4447-bd28-79d062f20a4c
94,-1091314887,8/19/17 6:41,8/19/17 6:41,Android,US,Colorado,Unknown,MetroPCS,female,35 - 44,1981,Very appropriate,Nothing,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,married,two,high_school,unemployed_looking,unemployed,hispanic,lower_i,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ed782454-c287-4c1c-a4fa-686be38f999b
8,-1090185792,8/19/17 6:53,8/19/17 6:55,Android,US,New Mexico,Farmington,AT&T,female,18 - 24,1998,Neither inappropriate nor appropriate,I'm not too sure why I put that answer but I would thank that because he put up the sign to let patients know before he does the procedure therefore its not appropriate nor inappropriate.,Disagree,Neither agree nor disagree,Neither agree nor disagree,living_with_partner,two,high_school,unemployed_looking,unemployed,other,prefer_not_to_say,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0844afb1-cc0a-4ad0-8993-015686ca58b8
16,-1086399908,8/19/17 6:38,8/19/17 6:39,Android,US,Minnesota,Mankato,Verizon Wireless,female,25 - 34,1992,Very appropriate,He's informing you of what he will be proceeding to do,Disagree,Neither disagree nor agree,Neither disagree nor agree,single,one,high_school,homemaker,unemployed,white,lower_i,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,275c24dc-d3f4-4c8f-ae1b-26219ba56af8
70,-1083927290,8/19/17 6:47,8/19/17 6:47,Android,US,Texas,San Antonio,,female,25 - 34,1986,Somewhat inappropriate,Because I believe that it is a matter of like trial and error. Waste of time.,Agree,Strongly disagree,Disagree,married,two,university,unemployed_not_looking,finance_and_insurance,other,prefer_not_to_say,,,,,,,,,,,,
78,-1081824475,8/19/17 6:37,8/19/17 6:47,iOS,US,California,Murrieta,Verizon,female,18 - 24,1996,Very appropriate,Because it may help prevent illness.,Neither disagree nor agree,Disagree,Agree,living_with_partner,zero,vocational_technical_college,employed_for_wages,education,white,lower_i,,,,,,,,,,,,FDECED52-A6CD-4476-827F-E5B742DD61D3
70,-1081824475,8/19/17 6:48,8/19/17 6:48,iOS,US,California,Murrieta,Verizon,female,18 - 24,1996,Very appropriate,Because it could help prevent illness.,Neither agree nor disagree,Disagree,Agree,living_with_partner,zero,vocational_technical_college,employed_for_wages,education,white,lower_i,,,,,,,,,,,,FDECED52-A6CD-4476-827F-E5B742DD61D3
91,-1070647955,8/19/17 6:48,8/19/17 6:48,Android,US,Idaho,Boise,Unknown,female,25 - 34,1985,Neither appropriate nor inappropriate,Honestly because I don't know whether its a good choice or a bad one. Yes experiments are needed but the failure puts to many at risk.,Agree,Agree,Disagree,married,three,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,fda7c122-677b-4e4e-b645-ef8e6c4652d4
69,-1068707184,8/19/17 6:41,8/19/17 6:43,Android,US,Indiana,Jeffersonville,cricket,female,25 - 34,1986,Somewhat appropriate,They should put caution on back I agree,Neither disagree nor agree,Strongly disagree,Agree,living_with_partner,two,high_school,unable_to_work,homemaker,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,9eee140a-129b-48b1-ac85-1eb01b1c2971
17,-1060238223,8/19/17 6:48,8/19/17 6:48,Android,US,Unknown,Unknown,Verizon Wireless,female,25 - 34,1983,Somewhat appropriate,Sometimes it has to be down,Strongly agree,Agree,Agree,single,one,high_school,unable_to_work,unemployed,hispanic,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,216f54ec-3e87-4500-8e2c-7b0ab29121e5
24,-1056605997,8/19/17 6:50,8/19/17 6:51,Android,US,North Carolina,Garner,U.S. Cellular,female,18 - 24,1994,Neither appropriate nor inappropriate,Because it's the way I feel,Agree,Agree,Agree,single,zero,high_school,employed_for_wages,health_care_and_social_assistance,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,454a939a-d2bc-43c7-afd6-a3d69b477717
86,-1042372780,8/19/17 7:08,8/19/17 7:08,Android,US,California,Compton,MetroPCS,male,14 - 17,2001,Very appropriate,Because so he could know what he is doing,Disagree,Agree,Agree,single,zero,high_school,other,military,black,prefer_not_to_say,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a13e82fb-2bb5-4cc6-a6a1-5512f0e8a00e
61,-1041424098,8/19/17 6:47,8/19/17 6:47,iOS,US,Arkansas,Little Rock,Sprint,female,18 - 24,1999,Neither inappropriate nor appropriate,I just told you why damn,Disagree,Neither agree nor disagree,Strongly agree,single,zero,high_school,employed_for_wages,retail,other,prefer_not_to_say,,,,,,,,,,,,E314C5F3-5F3C-4BD4-98B4-526F5CBC529B
62,-1041424098,8/19/17 6:47,8/19/17 6:47,iOS,US,Arkansas,Little Rock,Sprint,female,18 - 24,1999,Somewhat inappropriate,Because why would you do an experiment on why somebody has a condition when you could just test them one by one. So that way the patients have some sort of connection with you being the doctor.,Agree,Neither disagree nor agree,Strongly agree,single,zero,high_school,employed_for_wages,retail,other,prefer_not_to_say,,,,,,,,,,,,E314C5F3-5F3C-4BD4-98B4-526F5CBC529B
79,-1039687677,8/19/17 7:05,8/19/17 7:06,iOS,US,Ohio,Marietta,AT&T,female,18 - 24,1993,Somewhat inappropriate,It is not ethical for healthcare professionals to knowingly put their patients in harms way. If these patients develop infections they could suffer complications or even die from sepsis. This facility could use evidence based practice and implement standards precautions or provide more training to its employees. It was also not stated if the patients consented to be part of this experiment. If they did not this is definitely not ethically or morally right.,Strongly agree,Disagree,Strongly agree,living_with_partner,zero,vocational_technical_college,student,health_care_and_social_assistance,white,lower_ii,,,,,,,,,,,,FFF97A52-9D7F-4673-A989-1E8E120F806D
64,-1039687677,8/19/17 7:05,8/19/17 7:05,iOS,US,Ohio,Marietta,AT&T,female,18 - 24,1993,Somewhat inappropriate,"In the medical field, putting patients knowingly in harms way is not ethical. Also it was not explained whether the patients consented to being a part of this experiment as well. If they did not, this is not ethical or moral on the facility and doctors part.",Strongly agree,Disagree,Strongly agree,living_with_partner,zero,vocational_technical_college,student,health_care_and_social_assistance,white,lower_ii,,,,,,,,,,,,FFF97A52-9D7F-4673-A989-1E8E120F806D
