pid,cond,condLabel,dv,dv_binary,FreeResponse,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatPollfishLabelCode,MarkedForExclusion,whoMarked,repeat_pollfish,reversal_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrderPollfish
132,xA,badge,4,0,Because it feels right,-1933496363,3,3,2,4,2,0,2,0,41,1,4,1,2,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
133,xA,badge,4,0,"It makes sense why that would become a thing, but in reality the doctor could just verbally say the risks to the patient.",575160513,1,3,4,2,2,0,2,0,17,0,2,0,1,0,6,0,1,SA&WC,0,0,1,0,0.00,HiToLo
134,xA,badge,2,1,That's something that sounds be disused between doctor and patient. Not just hung on the wall.,-732736037,3,4,2,4,2,0,3,1,22,0,2,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
135,xA,badge,2,1,I rather live then die any day .,2065539354,4,4,3,3,1,1,1,0,31,0,2,0,-1,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
136,xA,badge,2,1,People are not guina pigs,-747383365,2,4,4,2,2,0,3,1,51,1,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
137,xA,badge,2,1,It's ridiculous to think that it printed on the back of a badge means anything the drs should already know the procedure by heart,-1522434549,4,4,4,2,2,0,3,1,36,1,3,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
138,xA,badge,2,1,"Doctor's shouldn't refer to something on their name badge. That seems out of the ordinary. If they need to look something up or double check how a procedure is done, they should do it in their office. I would feel uncomfortable if a doctor was checking that right in front of me.",-1894983892,3,4,4,2,2,0,3,1,24,0,4,1,2,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
139,xA,badge,2,1,It is not ethical for healthcare professionals to knowingly put their patients in harms way. If these patients develop infections they could suffer complications or even die from sepsis. This facility could use evidence based practice and implement standards precautions or provide more training to its employees. It was also not stated if the patients consented to be part of this experiment. If they did not this is definitely not ethically or morally right.,-1039687677,5,2,5,1,2,0,3,1,24,0,3,0,2,0,8,1,0,SA&WC,2,0,0,0,0.00,HiToLo
140,xA,badge,2,1,I don't know what to say,1186854042,2,2,4,2,1,1,-1,0,18,0,1,0,-1,0,6,0,0,SA&WC,0,0,0,0,0.00,HiToLo
141,xA,badge,5,0,Buoy,798810913,4,2,4,2,1,1,5,0,24,0,4,1,7,1,8,1,1,SA&WC,1,0,0,1,0.00,HiToLo
142,xA,badge,5,0,I would rather the doctor have the list in front of him .   Sometimes people can forget things . So I feel that it is appropriate to have the list in front of them .,2084287486,3,3,4,2,2,0,3,1,22,0,2,0,-1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
143,xA,badge,5,0,because they are they to run test to find out whats wrong and then its there place to decide what to do from that point.,1818128163,5,4,3,3,1,1,3,1,29,0,2,0,1,0,12,1,0,SA&WC,1,0,0,0,0.00,HiToLo
144,xA,badge,5,0,Anything to serve as a reminder to help save lives. Other professions have little cheat sheets as reminders as well.,1885045597,5,4,4,2,2,0,3,1,32,0,6,1,3,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
145,xA,badge,5,0,Not all procedures are 100 percent affective but with the proper training and guidelines most of the time things are affective and the outcome is great.,-1367211211,3,3,1,5,2,0,3,1,26,0,3,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
146,xA,badge,5,0,All health risk should be divulged.,-675649629,2,2,4,2,2,0,1,0,23,0,3,0,6,1,6,0,0,SA&WC,0,0,0,0,0.00,HiToLo
147,xA,badge,5,0,Because it's good to know what is needed when doing a procedure.,1152468643,5,3,4,2,2,0,3,1,35,1,3,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
148,xA,badge,5,0,Common knowledge kinda thing,1891457836,3,3,4,2,2,0,3,1,31,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
149,xA,badge,5,0,Safety info prevents infection,1493700991,4,2,3,3,1,1,3,1,37,1,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
150,xA,badge,5,0,Becos there always precautions in health care,-1572883917,3,3,4,2,1,1,3,1,27,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
151,xA,badge,5,0,Shows that they are being precautious,-933610399,5,4,4,2,2,0,5,0,31,0,4,1,2,0,11,1,0,SA&WC,1,0,0,0,0.00,HiToLo
152,xA,badge,5,0,"Because the director runs the show, without a director people wouldn't know Wich direction to go",-1420606406,4,4,4,2,1,1,3,1,31,0,2,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
153,xA,badge,5,0,Because he cares for the wellbeing of the patients by making sure the doctors are aware of the safety procedures and only them who have that badge can perform such injections.,-258055844,2,4,4,2,2,0,2,0,21,0,4,1,-1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
154,xA,badge,5,0,They will be able to see what not to do and be safe when doing the procedure,-1194561710,4,2,2,4,2,0,2,0,40,1,1,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
155,xA,badge,5,0,Because he makes the movie great!,1598996484,4,4,4,2,1,1,3,1,30,0,2,0,1,0,10,0,1,SA&WC,0,0,1,0,0.00,HiToLo
156,xA,badge,5,0,Because it makes sense. Sounds safer that way.,1535362430,3,3,3,3,2,0,-1,0,23,0,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
157,xA,badge,5,0,Safety is important there are a lot of mishaps when being treated in hospitals. Doctors stay awake for long periods and mistakes are made.,1324369887,3,1,5,1,1,1,2,0,34,1,2,0,1,0,5,0,0,SA&WC,0,0,0,0,0.00,HiToLo
158,xA,badge,5,0,Because that way they know what they are doing and just in case they forget they have their badge to guide them or remind them.,773758247,5,4,3,3,2,0,3,1,20,0,2,0,1,0,12,0,0,SA&WC,0,0,0,0,0.00,HiToLo
159,xA,badge,5,0,"Because as a doctor, their job is to do anything and everything that can help a person's health and well being.  Including taking every precaution they can take to ensure good health of the patient.",-1020362874,4,4,3,3,2,0,3,1,25,0,3,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
160,xA,badge,5,0,I choose this option because I needed rolls on my fucking game so I had to take a damn survey. Now please just give me the damn rollsÍ¾_Í_ÜÍ¾_Í_ÜÍ¾_Í_Ü,-218345230,4,4,4,2,2,0,1,0,18,0,2,0,7,1,10,0,1,SA&WC,0,0,0,1,0.00,HiToLo
161,xA,badge,5,0,Because I'd rather have someone with a reminder hanging around their neck.,201203541,5,5,4,2,2,0,3,1,33,0,2,0,2,0,12,0,0,SA&WC,0,0,0,0,0.00,HiToLo
162,xA,badge,5,0,The doctor oftens knows the best way of treatments.,1351519267,5,5,4,2,1,1,3,1,38,1,2,0,2,0,12,0,0,SA&WC,0,0,0,0,0.00,HiToLo
163,xA,badge,5,0,It let you know that the doctor is capable of treating you and have been trained in that field,-1964607366,2,4,4,2,2,0,1,0,52,1,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
164,xA,badge,5,0,I think it is important for patients to know what kind of care they are receiving,-963073353,5,2,4,2,2,0,3,1,21,0,2,0,1,0,9,0,1,SA&WC,0,0,1,0,0.00,HiToLo
165,xA,badge,5,0,More reassuring.,1979031221,1,1,3,3,2,0,5,0,52,1,2,0,1,0,5,0,0,SA&WC,0,0,0,0,0.00,HiToLo
166,xA,badge,5,0,It can serve as a constant reminder of patient safety,-1215303574,5,5,3,3,2,0,2,0,49,1,3,0,2,0,13,0,0,SA&WC,0,0,0,0,0.00,HiToLo
167,xA,badge,5,0,I think it's a good idea so that people can know what it is that is being done to them and how it can effect them,49335759,1,1,5,1,2,0,3,1,30,0,2,0,2,0,3,0,1,SA&WC,0,0,1,0,0.00,HiToLo
168,xA,badge,5,0,So there's no infections after procedures.,1632205107,4,3,3,3,2,0,2,0,23,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
169,xA,badge,5,0,Because they are specially trained to care for the patient if they catch an infection.,-613534493,5,4,2,4,1,1,1,0,28,0,2,0,1,0,13,0,0,SA&WC,0,0,0,0,0.00,HiToLo
170,xA,badge,5,0,"I chose that answer because people are crazy now & days, people kill people in hoapitals, have to have some kind of identification & a different sign to tell who does what & whe there you should trust them or not.",896056718,3,4,4,2,2,0,4,0,22,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
171,xA,badge,5,0,I just believe that his opinion matters and should be able to take part .,-510109514,3,4,3,3,2,0,2,0,37,1,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
172,xA,badge,5,0,I chose that answer because i think the director has good intentions and is trying to help somehow even though risks probably still run high.However the idea is not too bad and hopefully does prevent such occurences from hapenning.,565501702,4,4,2,4,2,0,2,0,24,0,2,0,3,0,12,0,0,SA&WC,0,0,0,0,0.00,HiToLo
173,xA,badge,5,0,Because it is the right choice for the doctors to do so that the procedure process is safer,1103667834,1,5,4,2,1,1,3,1,23,0,2,0,-1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
174,xA,badge,5,0,So I will know,-1678405413,4,5,4,2,1,1,4,0,45,1,3,0,4,1,11,1,0,SA&WC,1,0,0,0,0.00,HiToLo
175,xA,badge,5,0,"I want the best option for people, If it has to do with the safety of others I feel everyone has the right to know.",-1672355395,3,3,3,3,2,0,1,0,19,0,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
176,xA,badge,5,0,It shows the risks,492847219,3,2,4,2,1,1,1,0,17,0,1,0,-1,0,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
177,xA,badge,5,0,Na,548163348,3,3,4,2,2,0,2,0,24,0,3,0,1,0,8,1,1,SA&WC,1,0,0,1,0.00,HiToLo
178,xA,badge,5,0,I chose the option I chose because it's only fair that way.,-324211561,2,3,1,5,2,0,3,1,20,0,2,0,-1,0,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
179,xA,badge,5,0,It was saying that it would be treatable and yet they were explains the health issues.,445403355,5,3,5,1,2,0,4,0,27,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
180,xA,badge,5,0,Its to help to keep from an infection,72350117,5,5,4,2,2,0,3,1,25,0,2,0,1,0,12,0,0,SA&WC,0,0,0,0,0.00,HiToLo
181,xA,badge,5,0,"It's a physical reminder of what the protocol is, and it's tangible - it can be seen by all.",-2031334356,4,3,5,1,2,0,3,1,20,0,4,1,3,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
182,xA,badge,5,0,good,1486115432,1,4,4,2,2,0,2,0,30,0,2,0,1,0,7,1,0,SA&WC,1,0,0,0,0.00,HiToLo
183,xA,badge,5,0,I think it was helpful and it always good to listen to your doctor,709803024,2,1,4,2,2,0,5,0,26,0,2,0,5,1,5,0,0,SA&WC,0,0,0,0,0.00,HiToLo
184,xA,badge,5,0,It's good to be sure that they do everything they can to prevent infection.,1385385139,3,1,3,3,2,0,3,1,22,0,2,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
185,xA,badge,5,0,Because it may help prevent illness.,-1081824475,3,2,4,2,2,0,3,1,21,0,3,0,1,0,7,0,0,SA&WC,0,0,0,0,0.00,HiToLo
186,xA,badge,5,0,I like to know what I am getting myself into,1581812498,1,1,5,1,2,0,2,0,27,0,2,0,1,0,3,0,1,SA&WC,0,0,1,0,0.00,HiToLo
187,xA,badge,5,0,Good to know the doctors are educated,-1438962465,5,5,4,2,1,1,3,1,32,0,4,1,5,1,12,0,0,SA&WC,0,0,0,0,0.00,HiToLo
188,xA,badge,5,0,Because so he could know what he is doing,-1042372780,2,4,4,2,1,1,1,0,16,0,2,0,-1,0,8,0,0,SA&WC,0,0,0,0,0.00,HiToLo
189,xA,badge,5,0,Only doctors who are qualified for this procedure should be the ones allowed for it so this helps distinguish those are and aren't qualified.,278777764,4,4,4,2,1,1,4,0,33,0,4,1,4,1,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
190,xA,badge,5,0,Because following safety precautions is very important. Hospitals can be sued for giving a patient an infection that can kill them.,-971419302,5,5,5,1,2,0,1,0,25,0,3,0,3,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
191,xA,badge,5,0,That seems like a really excellent idea because then if they get a little confused they can always look at their card and they won't be so anxious all the time.,1456345895,5,4,4,2,2,0,3,1,22,0,4,1,-1,0,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
192,xA,badge,5,0,Yes,1482772796,1,2,2,4,2,0,1,0,34,1,2,0,1,0,7,1,0,SA&WC,1,0,0,0,0.00,HiToLo
193,xA,badge,5,0,I don't know,1703261962,4,5,4,2,1,1,3,1,37,1,4,1,4,1,11,0,0,SA&WC,0,0,0,0,0.00,HiToLo
194,xA,badge,1,1,Should have been talking with Dr you want to do,-2084272841,5,5,5,1,2,0,3,1,45,1,2,0,1,0,11,1,0,SA&WC,1,0,0,0,0.00,HiToLo
195,xA,badge,1,1,It's lying,2136946230,5,5,3,3,1,1,3,1,21,0,4,1,1,0,13,0,0,SA&WC,0,0,0,0,0.00,HiToLo
196,xA,badge,1,1,It's much safer and more practical with less risk to the patient,-1298687752,2,3,3,3,2,0,5,0,27,0,2,0,1,0,8,0,1,SA&WC,0,1,0,0,1.00,HiToLo
197,xA,badge,1,1,I dont like the idea of it,1840490163,1,1,2,4,2,0,2,0,29,0,2,0,6,1,6,1,0,SA&WC,1,0,0,0,0.00,HiToLo
198,xA,badge,1,1,I choose it because it's deadly as it stated and not that but the doctors get a new id after it's not fair,1353973888,3,5,4,2,2,0,1,0,19,0,2,0,4,1,10,0,0,SA&WC,0,0,0,0,0.00,HiToLo
199,xA,badge,1,1,I dont think plastic should be in anyones body,1397011912,3,3,3,3,2,0,5,0,29,0,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,HiToLo
200,ABL,bp_long,3,0,I chose this option so I could get some free rolls,210926409,3,3,3,3,2,0,3,1,35,1,1,0,1,0,9,0,1,SA&WC,0,0,0,1,0.00,LoToHi
201,ABL,bp_long,3,0,Well because we all need to be in the best hands when we in need,-1301291989,1,2,2,4,1,1,2,0,31,0,2,0,1,0,7,1,0,SA&WC,1,0,0,0,0.00,LoToHi
202,ABL,bp_long,3,0,"I think it is appropriate because either way. You have to figure out what is the best way to do the procedures. I also think it's innopropiate because it is sad to test on humans, if it were to go wrong.",-965238051,5,4,4,2,2,0,3,1,20,0,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
203,ABL,bp_long,3,0,I think the patients should know they are in a test but either way the safety precautions are available to both set of doctors.,-237186520,3,5,4,2,2,0,5,0,23,0,2,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
204,ABL,bp_long,3,0,I chose the option because he has to do both in order to see which one works best.,1631827257,4,4,4,2,2,0,3,1,25,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
205,ABL,bp_long,3,0,I dont agree or disagree,-1429743666,1,5,1,5,2,0,3,1,27,0,2,0,-1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
206,ABL,bp_long,3,0,Idk I didnt understand the question so I just picked that one,-1903699028,3,5,5,1,2,0,2,0,24,0,1,0,1,0,9,0,1,SA&WC,0,0,1,0,0.00,LoToHi
207,ABL,bp_long,3,0,All depends on Dr 's,644490428,3,4,3,3,2,0,2,0,28,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
208,ABL,bp_long,3,0,Idk,-836257546,2,4,2,4,1,1,2,0,20,0,6,1,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
209,ABL,bp_long,3,0,Nothing would have been very fair.,-1129477566,4,3,3,3,2,0,3,1,24,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
210,ABL,bp_long,3,0,Because That's How I Feel.,1277585305,4,2,2,4,2,0,2,0,22,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
211,ABL,bp_long,3,0,"The Doctor still have the instuctions with every patient, either on the wall or on the badge.",1524339091,4,3,4,2,1,1,3,1,40,1,3,0,3,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
212,ABL,bp_long,3,0,Because it's a trial. There's no way to find things out without testing which leads to better ways,572801034,3,3,4,2,1,1,3,1,23,0,2,0,3,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
213,ABL,bp_long,3,0,"I feel people are making the best decision for themselves, even if it might not be appropriate for others it might for them.",1206321661,5,5,5,1,2,0,2,0,25,0,2,0,3,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
214,ABL,bp_long,3,0,I chose this option because everyone needs to try and experiment new things bit know that it could not go the way it will.,563753161,4,4,3,3,2,0,3,1,24,0,2,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
215,ABL,bp_long,3,0,He's valid because that's how it should work,418984424,1,3,3,3,2,0,3,1,36,1,3,0,1,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
216,ABL,bp_long,3,0,I am not sure about this...,-1984313838,5,4,4,2,2,0,2,0,35,1,3,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
217,ABL,bp_long,3,0,because im really not sure,21805384,3,2,4,2,2,0,3,1,50,1,2,0,1,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
218,ABL,bp_long,3,0,"as long as precautions are listed, don;t feel it matters where they are listed",996906532,5,5,3,3,2,0,3,1,55,1,4,1,2,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
219,ABL,bp_long,3,0,I do t agree,491995325,5,4,4,2,1,1,5,0,28,0,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
220,ABL,bp_long,3,0,Well I don't know much about medical treatmentds or how they usually decide what treatments to use so I don't know how to feel about the way he chose to go about it...,-1221918534,5,4,4,2,1,1,3,1,34,1,2,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
221,ABL,bp_long,3,0,I'm not for sure what it is.. But if it helps save someone why not do it.,1991663597,4,5,3,3,2,0,3,1,43,1,2,0,1,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
222,ABL,bp_long,3,0,Beacusr its whats right. Thats how I feel. Its the only explination.,245826701,3,4,2,4,2,0,2,0,26,0,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
223,ABL,bp_long,3,0,cause,-1346015969,3,3,3,3,2,0,5,0,27,0,3,0,-1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
224,ABL,bp_long,3,0,That's my opinion,1488815100,3,3,3,3,2,0,2,0,21,0,2,0,7,1,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
225,ABL,bp_long,3,0,"I don't see too much risk, but I don't see too much of the Dr trying to find ways to help.",-2121842499,3,2,4,2,2,0,3,1,33,0,4,1,4,1,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
226,ABL,bp_long,3,0,I think everyone is different and will handle it differently,194847763,4,4,5,1,2,0,3,1,36,1,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
227,ABL,bp_long,4,0,"I think this is a good way to determine which way will provide better results. Ultimately, the doctors will not be putting the patient in direct harm and they won't be putting them in any more danger than they are already in. The only reason it isn't completely appropriate is because there is is better way to find out which way will be more effective than a test like this that is so lengthy.",1399528048,5,5,3,3,2,0,2,0,22,0,2,0,1,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
228,ABL,bp_long,4,0,nothing just want it,1801633739,4,4,5,1,2,0,4,0,42,1,4,1,6,1,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
229,ABL,bp_long,4,0,The Patient and the Dr have the right to choose together,-1296895732,4,4,3,3,2,0,2,0,35,1,4,1,4,1,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
230,ABL,bp_long,4,0,I think it should be posted on wall so everyone can see it and use it. Not everyone can see it on back of doctor badge.,-1474731283,4,5,4,2,2,0,3,1,37,1,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
231,ABL,bp_long,4,0,I do believe that the environment has a lot to do with the paciente revery,86854746,4,3,3,3,1,1,2,0,24,0,3,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
232,ABL,bp_long,4,0,Because it would be for the best of the group. But the majority could also be only beat by a few patients where as it would not be a effective solution.,894996940,4,2,4,2,2,0,2,0,22,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
233,ABL,bp_long,4,0,I think it's a good idea. It's a good WY to test theorys.,-1867720175,4,4,4,2,2,0,3,1,32,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
234,ABL,bp_long,4,0,It's a very honest answer,508091965,4,4,5,1,2,0,3,1,23,0,4,1,4,1,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
235,ABL,bp_long,4,0,Could save lives,1794820032,3,4,3,3,1,1,3,1,53,1,2,0,5,1,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
236,ABL,bp_long,4,0,Appropriate because things to get tested in order to fix something or make it better,-2035461085,3,3,4,2,2,0,2,0,20,0,2,0,3,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
237,ABL,bp_long,4,0,"I kinda feel like it's a little messed up. Because he knows that one of the 2 options will kill people. But, at the same time, trial and error. So, it kinda needs to be done. To save more lives in the future.",180719701,3,3,3,3,1,1,3,1,35,1,1,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
238,ABL,bp_long,4,0,There is always anoher method. Only the future hold better ideas,63512412,3,3,3,3,1,1,-1,0,24,0,6,1,-1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
239,ABL,bp_long,4,0,Because makes sense,-967749940,5,4,4,2,1,1,3,1,40,1,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
240,ABL,bp_long,4,0,Because I felt like that would be a good choice.,1069989325,3,3,3,3,2,0,3,1,51,1,6,1,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
241,ABL,bp_long,4,0,I think its always a good idea to conztantly examine the best approach,-1700301427,4,2,4,2,1,1,3,1,38,1,4,1,6,1,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
242,ABL,bp_long,4,0,Because it made the most sense,-1112389,5,4,3,3,1,1,3,1,19,0,2,0,-1,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
243,ABL,bp_long,4,0,How else are we supposed to learn if we don't experiment?,-1821842983,3,3,5,1,2,0,5,0,40,1,3,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
244,ABL,bp_long,4,0,Because it could or could not save a patient's life,458329066,1,5,2,4,2,0,3,1,38,1,4,1,3,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
245,ABL,bp_long,4,0,Happy,-436692240,5,4,2,4,2,0,2,0,28,0,2,0,1,0,13,0,1,SA&WC,0,0,0,1,0.00,LoToHi
246,ABL,bp_long,4,0,"I believe in order for doctors to control the chance of infections, they do need to run experiments, and a poster on the wall is a good idea so it can be read easier.",134358817,1,4,4,2,2,0,3,1,24,0,2,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
247,ABL,bp_long,4,0,Every situation is different. I don't know if I would be confident in the results in that period of time,983539181,4,4,3,3,2,0,3,1,36,1,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
248,ABL,bp_long,4,0,Because a doctor has the education to make a good decision. They also should know your health history in order to make that decision.,-967761324,3,3,4,2,2,0,3,1,30,0,4,1,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
249,ABL,bp_long,4,0,"I chose the answer that I did because after reading the passage, I concluded that the experiment would be somewhat appropriate.",86036162,5,4,3,3,2,0,3,1,20,0,2,0,1,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
250,ABL,bp_long,4,0,Medical advances require tests and experiments.,-1838884635,4,2,5,1,2,0,3,1,55,1,6,1,2,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
251,ABL,bp_long,4,0,Because I'm not sure.,-282382458,5,3,5,1,2,0,2,0,50,1,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
252,ABL,bp_long,4,0,They should all follow the same procedure,-1001514305,5,5,5,1,2,0,3,1,55,1,2,0,2,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
253,ABL,bp_long,4,0,No,-1538686805,2,2,1,5,2,0,3,1,19,0,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
254,ABL,bp_long,4,0,Not sure,-2054411911,3,3,4,2,2,0,3,1,24,0,2,0,-1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
255,ABL,bp_long,4,0,it is cruel but seems that it must be done,810864862,5,4,4,2,2,0,3,1,22,0,2,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
256,ABL,bp_long,4,0,Because anything  to save a life is worth the risk,-301787159,5,5,4,2,1,1,3,1,45,1,3,0,2,0,12,1,0,SA&WC,1,0,0,0,0.00,LoToHi
257,ABL,bp_long,2,1,Cuz  its confusing the patients,-1341964819,4,3,4,2,2,0,2,0,33,0,3,0,2,0,9,0,1,SA&WC,0,0,1,0,0.00,LoToHi
258,ABL,bp_long,2,1,Sure,1376250244,5,4,4,2,2,0,3,1,41,1,2,0,3,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
259,ABL,bp_long,2,1,I think it's kind of inappropriate because they should all have a poster on the wall with the precautions and stuff.,2084929009,5,5,4,2,2,0,3,1,21,0,2,0,1,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
260,ABL,bp_long,2,1,No doctor as no say so,-1679047152,3,4,2,4,2,0,1,0,50,1,2,0,-1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
261,ABL,bp_long,2,1,Plenty of risks either way,819566105,3,4,4,2,2,0,3,1,22,0,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
262,ABL,bp_long,2,1,It shouldn't be up to the doctor to test the safety of a procedure on patients without their knowledge.,-304495766,3,3,4,2,2,0,3,1,24,0,2,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
263,ABL,bp_long,2,1,It's saves lives. And less dangerous,413707464,5,5,2,4,1,1,3,1,18,0,2,0,-1,0,14,0,1,SA&WC,0,1,0,0,1.00,LoToHi
264,ABL,bp_long,2,1,Because it's not fair to put peoples health at risk . and I am scared of getting an infection,2145350110,3,2,4,2,2,0,2,0,19,0,2,0,1,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
265,ABL,bp_long,2,1,Because they can be doing a right thing or a bad thing for your life,239146909,3,4,3,3,2,0,2,0,24,0,2,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
266,ABL,bp_long,2,1,Because it sounds inappropriate. But atvtgecsame time worth the try.,1885099443,2,2,4,2,2,0,2,0,30,0,2,0,1,0,6,1,0,SA&WC,1,0,0,0,0.00,LoToHi
267,ABL,bp_long,2,1,Because he had a good decision,-2123526064,5,4,4,2,1,1,1,0,25,0,4,1,3,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
268,ABL,bp_long,2,1,I think he needa to be more specific on what he wants to do in order to see if his idea will actually work.,1951021469,2,4,4,2,2,0,2,0,22,0,3,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
