Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.How appropriate is the director's decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,,,,,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,"Thank you for participating in our study. Your confirmation code to enter into Mechanical Turk is 8X43TW0R5. Please copy this code down so that you may enter it into Mechanical Turk to receive credit for your participation.If you have any additional comments on this study, you may enter them into the text box below (optional)."
6297402305,159625497,07/18/2017 03:59 PM,07/18/2017 04:01 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",3,It is neither morally nor legally wrong so why not test this out?,2,,,3,,,51,4,2,1,3,3,
6297402285,159625497,07/18/2017 03:58 PM,07/18/2017 04:01 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,i would not feel safe ,2,,2,,,,28,3,4,1,2,3,
6297399576,159625497,07/18/2017 03:57 PM,07/18/2017 03:58 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,I think it is somewhat appropriate to find out which gives the best result but using actual people as subjects troubles me somewhat.,1,,,3,,,39,3,2,5,5,1,
6297399349,159625497,07/18/2017 03:57 PM,07/18/2017 03:59 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,i love all the precautions to make it safe ,1,,2,,,,30,3,2,2,5,1,
6297388125,159625497,07/18/2017 03:51 PM,07/18/2017 03:52 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",5,The director affects the outcome of all future patients based on his/her decision.,1,,,,4,,29,3,4,1,3,3,
6297384573,159625497,07/18/2017 03:49 PM,07/18/2017 03:52 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",2,There should be a way to insure every patient gets the same surivival rate.,1,,,3,,,59,3,2,5,5,1,
6297378709,159625497,07/18/2017 03:46 PM,07/18/2017 03:47 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,It is always better to let patients know the risks.  It also ensures the hospital workers are more cautious.,2,,,3,,,38,4,6,1,3,2,
6297373891,159625497,07/18/2017 03:43 PM,07/18/2017 03:44 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,it is the right thing to do,1,,,3,,,36,4,6,1,3,3,
6297372646,159625497,07/18/2017 03:43 PM,07/18/2017 03:45 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",3,it doesnt hurt to have daily reminders.,2,,,3,,,63,3,5,2,3,3,
6297372448,159625497,07/18/2017 03:43 PM,07/18/2017 03:47 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,I think it is very appropriate because it will remind the doctor's of the procedures especially for person reference and also to show potential patients.,1,1,,,,,36,4,4,1,2,2,
6297366208,159625497,07/18/2017 03:39 PM,07/18/2017 03:42 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,"I think, while the doctor has good intentions, that this poster in the rooms could be ignored or unnoticed by doctors. I think it would be better for the director to host a training session or conference with doctors to explain the safety precautions.",1,,,3,,,19,3,5,5,5,1,
6297362319,159625497,07/18/2017 03:37 PM,07/18/2017 03:39 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,not really sure how this idea will help prevent infections,2,,,3,,,49,3,3,2,2,2,
6297359889,159625497,07/18/2017 03:36 PM,07/18/2017 03:37 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",3,I don't think it is either appropriate or inappropriate. ,2,,,3,4,,22,3,1,5,5,1,
6297358630,159625497,07/18/2017 03:35 PM,07/18/2017 03:37 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",3,"It seemed like a good way to get the information that he sought. On the other hand, maybe he should choose now.",2,,,3,,,35,3,1,4,5,1,
6297358181,159625497,07/18/2017 03:35 PM,07/18/2017 03:37 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,Sometimes it helps to have two groups to test on when experimenting. I think it was appropriate so the director could find the best way to prevent infections.,1,,,3,,,34,4,3,5,5,1,
6297357836,159625497,07/18/2017 03:35 PM,07/18/2017 03:38 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,So that all doctors who are going to perform this procedure will not forget the safety precautions.,2,,,,4,,40,4,6,1,4,3,
6297357432,159625497,07/18/2017 03:34 PM,07/18/2017 03:37 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",1,I think there needs to be another way to test to figure out which way has the highest survival rate.  That's kinda of crazy to test it on people!,2,,,3,,,45,4,2,2,2,2,
6297353021,159625497,07/18/2017 03:32 PM,07/18/2017 03:35 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,"Well, how else are you going to find out the results. I mean dont hospitals already do this kind of ? There are so many studies that each hospital has different opinions on the outcome, and people usually go for the hospital with the less mortality rate.",2,,,3,,,27,4,3,2,3,3,This was an interesting survey thank you
6297348086,159625497,07/18/2017 03:30 PM,07/18/2017 03:31 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,It can help increase the livelihood and well being of the patients.,2,,,3,,,24,2,2,3,4,2,8X43TW0R5
6297339588,159625497,07/18/2017 03:25 PM,07/18/2017 03:28 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",4,Let's you know that the Doctor is more aware and will be more conscious of his decision to place device.,2,1,,,,,53,3,2,1,1,4,
6297339557,159625497,07/18/2017 03:25 PM,07/18/2017 03:27 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",3,I chose option 3 because they are basically the same with the exception one is an ID badge and the other is hanging on a wall,2,,,3,,,33,4,1,2,2,2,
6297336667,159625497,07/18/2017 03:24 PM,07/18/2017 03:24 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,painful,2,1,,,,,25,1,1,3,3,2,
6297334285,159625497,07/18/2017 03:22 PM,07/18/2017 03:24 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,It shows your Dr. is knowledgable about the side effects of this procedure.,2,,,3,,,27,3,1,1,4,1,
6297325727,159625497,07/18/2017 03:17 PM,07/18/2017 03:20 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,I feel it was ok to have it,1,,,3,,,26,4,1,2,1,2,great task
6297321790,159625497,07/18/2017 03:15 PM,07/18/2017 03:19 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,The environment is not appropriate for any sort of experimentation. This should be done elsewhere with appropriate conditions.,1,,,,,5,25,6,4,2,3,2,
6297309391,159625497,07/18/2017 03:09 PM,07/18/2017 03:11 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",3,Seemed right,1,,,3,,,26,2,1,2,2,3,
6297309339,159625497,07/18/2017 03:09 PM,07/18/2017 03:11 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,"It is good to remind medical personnel of proper procedures.     However, alotting only a single room, and expecting long-term compliance is unlikely.",1,,,,4,,29,6,5,3,5,1,
6297307014,159625497,07/18/2017 03:08 PM,07/18/2017 03:09 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,It's important to inform patients of their options. They also need to know the benefits and risks.,2,,,3,,,33,4,2,5,5,1,
6297305259,159625497,07/18/2017 03:07 PM,07/18/2017 03:10 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",3,This is common procedure in testing theory. It is appropriate because it results in smaller infection rates.,1,,,,,5,41,4,3,5,5,1,N/A
6297299833,159625497,07/18/2017 03:04 PM,07/18/2017 03:06 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,A poster can be scary without giving all of the truth. Patients should only get information from a doctor.,1,,,3,,,19,3,5,5,5,1,
6297298829,159625497,07/18/2017 03:03 PM,07/18/2017 03:06 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,It is important to know all the risks and rewards,2,,,3,,,30,4,2,2,2,2,
6297296031,159625497,07/18/2017 03:02 PM,07/18/2017 03:04 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,The instructions are explicit and are done to ensure the safety of the patient.,1,,,,,5,34,4,3,2,2,2,"This was fun, I would like to do more of these surveys."
6297291179,159625497,07/18/2017 02:59 PM,07/18/2017 03:02 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,Safety of the patients is top priority.  This would be useful and appropriate for all nurses and doctors to use a guide and tool to ensuring top care. ,1,,,3,,,38,6,3,1,1,2,
6297288246,159625497,07/18/2017 02:57 PM,07/18/2017 03:00 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,Common sense,1,,,3,,,35,5,3,5,5,1,
6297286920,159625497,07/18/2017 02:57 PM,07/18/2017 03:01 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,precautions should be listed and be very visible at all times,2,,,3,,,47,3,5,1,3,3,
6297286332,159625497,07/18/2017 02:57 PM,07/18/2017 02:58 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",1,cant make up your own science experiment without peoples consent a cooperation,1,,,3,,,44,4,5,5,5,1,
6297282497,159625497,07/18/2017 02:54 PM,07/18/2017 02:58 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,it would be appropriate if infections from this procedure have been a problem ,1,,,3,,,49,4,4,2,3,2,
6297280044,159625497,07/18/2017 02:54 PM,07/18/2017 02:54 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,"It will contribute to reducing infections, and helps make the physicians/nurses performing procedures more aware of expectations. ",1,,,3,,,30,5,6,5,5,1,
6297278839,159625497,07/18/2017 02:53 PM,07/18/2017 02:55 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,"If it will drop the rate of patients getting infections from the plastic tube procedure, I am all in favor for.",1,,,3,,,33,3,2,1,3,3,I have no additional comments.
6297277492,159625497,07/18/2017 02:52 PM,07/18/2017 02:56 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,The poster allows the patient to double check it is being done right plus doctor can see them and follow them as well.  Back of ID badge he does not see unless he takes it off.,2,,,3,,,51,3,3,1,1,2,
6297276868,159625497,07/18/2017 02:52 PM,07/18/2017 02:53 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",2,Depending on the amount of people treated this could have huge amounts become infected,2,,,3,4,,20,3,5,4,5,1,
6297273339,159625497,07/18/2017 02:50 PM,07/18/2017 02:51 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",4,"The doctor didn't change the actual procedures, so it isn't inappropriate.",2,,,3,,,35,6,5,1,3,3,
6297268319,159625497,07/18/2017 02:48 PM,07/18/2017 02:48 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",1,completly random,1,,,3,,,23,2,3,4,4,4,
6297265963,159625497,07/18/2017 02:44 PM,07/18/2017 02:50 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,I don't think they should be running an experiement on the patients without them knowing,1,,,3,,,43,4,3,1,1,3,
6297264173,159625497,07/18/2017 02:45 PM,07/18/2017 02:49 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,"I feel it is a great consideration to all patients. Additionally, it would serve as reminder for doctors to be extra careful with this procedure.",1,,,,4,,31,3,3,5,4,2,Thank you.
6297258160,159625497,07/18/2017 02:42 PM,07/18/2017 02:44 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,I chose that options because it is best to inform all patients of potential risks.,1,,,3,,,34,4,2,5,5,1,
6297252813,159625497,07/18/2017 02:39 PM,07/18/2017 02:41 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,"From the info given it does not appear as though the doctor has asked the patients for consent, which means they may be exposed to extra and unkonwn risks during their procedures. ",1,,,3,,,35,6,6,5,5,2,
